conversation_history	query	rewrited_query	answer	unique_idx	candidates	plan
['turn 1: Could you show me the details of my event #12 scheduled for 9:00 AM tomorrow? -> Event 12: Client Presentation at 9:00 AM tomorrow in Conference Room B.']	Could you guide me to that conference room?	Could you guide me to Conference Room B?	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Conference Room B'}}	ACTION_VIEW_EVENT-1786-ACTION_NAVIGATE_TO_LOCATION-1	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_ALARM', 'open_settings', 'ACTION_NAVIGATE_TO_LOCATION']	ACTION_NAVIGATE_TO_LOCATION
['turn 1: Where is the Great Wall of China located? -> The Great Wall is located near Huairou District, China, at approximately 40.4319° N, 116.5704° E.']	Could you guide me to that location?	Could you guide me to 40.4319° N, 116.5704° E?	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Huairou District: 40.4319° N, 116.5704° E, China'}}	search_location-1139-ACTION_NAVIGATE_TO_LOCATION-1	['ACTION_OPEN_CONTENT', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_RECENT_APPS', 'get_contact_info_from_uri']	ACTION_NAVIGATE_TO_LOCATION
['turn 1: Could you show me the appointment with ID 67? -> Event 67: Performance Review at 1:00 PM on May 28 in the Manager’s Office.']	Could you get directions to that office?	Could you get directions to the Manager’s Office?	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Manager’s Office'}}	ACTION_VIEW_EVENT-1792-ACTION_NAVIGATE_TO_LOCATION-1	['ACTION_INSERT_EVENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIDEO_CAPTURE', 'ACTION_GET_RINGTONE']	ACTION_NAVIGATE_TO_LOCATION
['turn 1: Please record my vlog and save it to content://videos/vlog1.mp4. -> Your vlog has been recorded and saved at content://videos/vlog1.mp4.']	Could you play back the vlog I just recorded?	Could you play back the vlog I just recorded at content://videos/vlog1.mp4?	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/vlog1.mp4', 'mime_type': 'video/mp4'}}	ACTION_VIDEO_CAPTURE-710-ACTION_OPEN_CONTENT-1	['ACTION_SET_TIMER', 'send_message', 'ACTION_OPEN_CONTENT', 'web_search', 'ACTION_GET_RINGTONE']	ACTION_OPEN_CONTENT
['turn 1: Could you take a picture of the current scene? -> All set—image captured and saved to content://camera_app/photos/98765.']	Could you display that image?	Could you display content://camera_app/photos/98765?	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://camera_app/photos/98765'}}	ACTION_IMAGE_CAPTURE-339-ACTION_OPEN_CONTENT-1	['send_message', 'ACTION_SET_TIMER', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_DOCUMENT', 'ACTION_OPEN_CONTENT']	ACTION_OPEN_CONTENT
['turn 1: Could you record a video and save it to content://videos/my_birthday.mp4? -> Sure—your birthday video has been saved to content://videos/my_birthday.mp4.']	Could you play back the birthday video?	Could you play back content://videos/my_birthday.mp4?	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/my_birthday.mp4', 'mime_type': 'video/mp4'}}	ACTION_VIDEO_CAPTURE-708-ACTION_OPEN_CONTENT-1	['ACTION_CREATE_DOCUMENT', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_RECENT_APPS', 'play_video', 'launch_application']	ACTION_OPEN_CONTENT
['turn 1: Could you show me my recent call history? -> Here are your recent calls: Diana at +44-20-7946-0958 (Incoming) today at 8:30 AM; Emma at +1-415-555-2671 (Missed) yesterday at 6:20 PM; Frank at +1-629-555-0148 (Outgoing) today at 11:05 AM.']	Could you give her a ring?	Could you give Diana at +44-20-7946-0958 a ring?	{'plan': 'dial', 'arguments': {'phone_number': '+44-20-7946-0958'}}	ACTION_VIEW_CALL_LOG-1892-dial-1	['ACTION_VIDEO_CAPTURE', 'ACTION_VIEW_EVENT', 'ACTION_EDIT_VIDEO', 'dial', 'ACTION_VIEW_WEB_HISTORY']	dial
['turn 1: Could you show me my device’s missed and dialed calls? -> Here’s your call log: Jack at +1-718-555-0145 (Outgoing) at 1:00 PM today; Karen at +49-30-1234-5678 (Incoming) at 9:45 AM yesterday; Leo at +1-305-555-0199 (Missed) at 7:20 AM today.']	Could you return Leo’s call?	Could you return +1-305-555-0199’s call?	{'plan': 'dial', 'arguments': {'phone_number': '+1-305-555-0199'}}	ACTION_VIEW_CALL_LOG-1894-dial-1	['ACTION_SET_ALARM', 'launch_application', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_CONTACT', 'dial']	dial
"['turn 1: Could you list all SMS and MMS messages sent from this device? -> Here are your sent messages: Mom at +82-3512-0000 – ""I’ll be there soon""; Alice – ""Happy Birthday!""; Bob at +1-202-555-0147 – ""Meeting at 2pm?""']"	Could you call Bob at +1-202-555-0147 now?	Could you call Bob at +1-202-555-0147 now?	{'plan': 'dial', 'arguments': {'phone_number': '+1-202-555-0147'}}	ACTION_VIEW_SENT_MESSAGES-2009-dial-1	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_GET_RINGTONE', 'dial', 'send_message', 'open_settings']	dial
['turn 1: Could you look up the address for 500 Terry Francois Boulevard in San Francisco, CA? -> Here’s the address: 500 Terry Francois Blvd, San Francisco, CA 94158, USA.']	Could you email that address to [assistant@example.com] and ask them to schedule a site visit?	Could you email 500 Terry Francois Blvd, San Francisco, CA 94158, USA to [assistant@example.com] and ask them to schedule a site visit?	{'plan': 'send_email', 'arguments': {'to': 'assistant@example.com', 'body': 'Please schedule a site visit at 500 Terry Francois Blvd, San Francisco, CA 94158, USA.'}}	search_location-1138-send_email-1	['ACTION_VIEW_CONTACT', 'ACTION_NAVIGATE_TO_LOCATION', 'INTENT_ACTION_VIDEO_CAMERA', 'send_email', 'ACTION_EDIT_VIDEO']	send_email
"['turn 1: Could you send a quick reminder to John at +1-555-123-4567 saying ""Don’t forget the meeting at 3 PM today""? -> Your reminder has been sent to +1-555-123-4567.']"	Could you email that reminder to [john@example.com]?	Could you email the reminder to [john@example.com]?	{'plan': 'send_email', 'arguments': {'to': 'john@example.com'}}	send_message-1241-send_email-1	['ACTION_INSERT_CONTACT', 'send_email', 'get_contact_info', 'ACTION_VIEW_EVENT', 'ACTION_SHOW_ALARMS']	send_email
"['turn 1: Could you show me my sent emails? -> Here are your sent emails: to [alice@example.com] – ""Project Update""; to [bob@example.com] – ""Meeting Agenda""; to [carol@example.com] – ""Budget Review"".']"	Could you send her the revised budget summary?	Could you send carol@example.com the revised budget summary?	{'plan': 'send_email', 'arguments': {'to': 'carol@example.com', 'body': 'the revised budget summary'}}	ACTION_VIEW_SENT_EMAILS-1945-send_email-1	['play_video', 'send_email', 'open_settings', 'ACTION_VIEW_CONTACT', 'ACTION_EDIT_VIDEO']	send_email
"['turn 1: Could you show me my recently sent messages? -> Here are your recently sent messages: \[[dave@example.com] – ""Team Outing Details""; [eve@example.com] – ""Client Feedback""; [frank@example.com] – ""Proposal Draft""]']"	Could you send a reminder to the third recipient to review the proposal draft?	Could you send a reminder to frank@example.com to review the proposal draft?	{'plan': 'send_message', 'arguments': {'to': 'frank@example.com', 'message': 'review the proposal draft'}}	ACTION_VIEW_SENT_EMAILS-1946-send_message-1	['ACTION_VIEW_PLAYLIST', 'ACTION_SET_TIMER', 'dial', 'play_music', 'send_message']	send_message
['turn 1: Could you trim the first 5 seconds of content://videos/celebration.mp4? -> Trimming the first 5 seconds of celebration.mp4 now.']	Could you send the edited video to Emily with the message 'Check out the edited intro!'?	Could you send content://videos/celebration.mp4 to Emily with the message 'Check out the edited intro!'?	{'plan': 'send_message', 'arguments': {'to': 'Emily', 'message': 'Check out the edited intro!', 'attachments': ['content://videos/celebration.mp4']}}	ACTION_EDIT_VIDEO-1686-send_message-1	['ACTION_SHOW_TIMERS', 'web_search', 'ACTION_VIEW_SENT_MESSAGES', 'INTENT_ACTION_VIDEO_CAMERA', 'send_message']	send_message
['turn 1: Could you fetch the recent call records? -> Here’s your call log: Steve at +1-312-555-0190 (Missed) at 2:05 PM today; Tina at +1-703-555-0183 (Incoming) at 8:15 AM yesterday; Uma at +44-161-555-0123 (Outgoing) at 6:55 PM today.']	Could you send a message to the second person saying 'Let me know when you call back.'?	Could you send a message to Tina at +1-703-555-0183 saying 'Let me know when you call back.'?	{'plan': 'send_message', 'arguments': {'to': '+1-703-555-0183', 'message': 'Let me know when you call back.'}}	ACTION_VIEW_CALL_LOG-1897-send_message-1	['ACTION_CREATE_DOCUMENT', 'ACTION_SET_RINGTONE', 'ACTION_SET_ALARM', 'send_email', 'send_message']	send_message
