conversation_history	ori_query	ori_rewrited_query	answer	unique_idx	refered_turn	candidates	plan	new_query	rewrited_query	query
['turn 1: Please set content://media/internal/audio/media/30 as the incoming ringtone -> Incoming ringtone set successfully.', 'turn 2: Record this interview and save it as content://interviews/intv1.mp4. -> Interview captured successfully. You can find the file here: content://interviews/intv1.mp4.']	Show me a list of ringtones instead of that incoming ringtone.	Show me a list of ringtones instead of the incoming ringtone content://media/internal/audio/media/30.	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	ACTION_SET_RINGTONE-1592-ACTION_GET_RINGTONE-1-ACTION_GET_RINGTONE-1	1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_GET_RINGTONE', 'play_music', 'web_search', 'dial']	ACTION_GET_RINGTONE	Could you show me a list of available ringtones instead of using the current incoming ringtone?	Could you show me a list of available ringtones instead of using the current incoming ringtone?	Could you show me a list of available rintones instead of using the current incoming ringtone?
"['turn 1: Could you apply this media ext file as ringtone: content://media/external/audio/media/305 -> Your ringtone is now set to media ID 305.', ""turn 2: Let's check the entry identified by content://contacts/people/1014. -> Contact loaded:\n• Sam Lee\n• 📞 (555) 234-5678\n• 📧 sam.lee@example.com\nURI: content://contacts/people/1014""]"	Could you let me choose a different ringtone instead of this one?	Could you let me choose a different ringtone instead of content://media/external/audio/media/305?	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	ACTION_SET_RINGTONE-1613-ACTION_GET_RINGTONE-1-ACTION_GET_RINGTONE-1	1	['open_settings', 'ACTION_VIDEO_CAPTURE', 'ACTION_SET_TIMER', 'search_location', 'ACTION_GET_RINGTONE']	ACTION_GET_RINGTONE	Could you help me choose a different ringtone?	choose a different ringtone	Could you help me choose a diffrent ringtone?
['turn 1: I want to set audio with ID 400 as my ringtone: content://media/internal/audio/media/400 -> All done—your ringtone has been updated to audio item 400.', 'turn 2: Show me the ringtone selection menu. -> Here you go! The ringtone picker is up—pick your favorite tune.']	I’d like to browse different tones rather than that audio item 400.	I’d like to browse different tones rather than audio item 400.	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	ACTION_SET_RINGTONE-1614-ACTION_SET_RINGTONE-1_NR-ACTION_GET_RINGTONE-1	1	['ACTION_GET_RINGTONE', 'get_contact_info', 'ACTION_VIEW_EVENT', 'search_location', 'ACTION_CREATE_DOCUMENT']	ACTION_GET_RINGTONE	Could I browse other ringtones instead of audio item 400?	Could I browse other ringtones instead of audio item 400?	Could I browse other ringtones instead of adio item 400?
"[""turn 1: Can you apply the 'classic' ringtone located at content://media/internal/audio/media/12? -> Your ringtone has been set to 'classic' (content://media/internal/audio/media/12)."", 'turn 2: Set an alarm at 14:00. -> Alarm set for alarm_id: alarm_no5 - 2:00 PM.']"	Pick a different ringtone than that classic tone	Pick a different ringtone than the classic tone at content://media/internal/audio/media/12	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	ACTION_SET_RINGTONE-1574-ACTION_GET_RINGTONE-1-ACTION_GET_RINGTONE-1	1	['ACTION_OPEN_DOCUMENT', 'ACTION_OPEN_CONTENT', 'ACTION_GET_RINGTONE', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_SENT_EMAILS']	ACTION_GET_RINGTONE	Could you pick a different ringtone than the classic one?	Could you pick a different ringtone than content://media/internal/audio/media/12?	Could you pick a different ringtone than the classic won?
['turn 1: Please apply the tone from content://media/external/audio/media/45 as my default ringtone -> Your ringtone has been switched to content://media/external/audio/media/45.', 'turn 2: Retrieve the address for this contact URI content://com.example.contacts/890. -> Sure. The address for content://com.example.contacts/890 is 456 Pine Street, Apt 2B, Gotham City.']	Show me additional ringtones apart from this default one	Show me additional ringtones apart from content://media/external/audio/media/45	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	ACTION_SET_RINGTONE-1583-ACTION_GET_RINGTONE-1-ACTION_GET_RINGTONE-1	1	['ACTION_GET_RINGTONE', 'ACTION_SHOW_ALARMS', 'ACTION_INSERT_CONTACT', 'ACTION_SET_TIMER', 'ACTION_VIEW_WEB_HISTORY']	ACTION_GET_RINGTONE	Can you show me some other ringtones besides the default one?	Can you show me some other ringtones besides the default ringtone content://media/external/audio/media/45?	Can you show me some other ringtones besides the defalt one?
['turn 1: Where is the nearest pharmacy around here? -> Your nearest pharmacy is Green Cross Pharmacy at 123 Main St, just 0.3 miles north of your current location.', 'turn 2: Kickstart a countdown of 1 hour 15 minutes ASAP. -> Your 1-hour 15-minute timer has been kicked off.']	Add an event titled 'Prescription Pickup' there tomorrow at 3pm with description 'Pick up prescription' lasting one hour.	Add an event titled 'Prescription Pickup' at Green Cross Pharmacy at 123 Main St tomorrow at 3pm with description 'Pick up prescription' lasting one hour.	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Prescription Pickup', 'DESCRIPTION': 'Pick up prescription', 'EVENT_LOCATION': 'Green Cross Pharmacy at 123 Main St', 'BEGIN_TIME': 1700600000000, 'END_TIME': 1700603600000}}	search_location-1156-ACTION_INSERT_EVENT-1-ACTION_INSERT_EVENT-1	1	['ACTION_IMAGE_CAPTURE', 'dial', 'send_email', 'ACTION_INSERT_EVENT', 'ACTION_VIEW_SENT_MESSAGES']	ACTION_INSERT_EVENT	Could you add an event titled 'Prescription Pickup' at Green Cross Pharmacy tomorrow at 3 PM? Make it one hour long and include the description 'Pick up prescription'.	Could you add an event titled 'Prescription Pickup' at Green Cross Pharmacy (123 Main St) tomorrow at 3 PM? Make it one of our long and include the description 'Pick up prescription'.	Could you add an event titled 'Prescription Pickup' at Green Cross Pharmacy tomorrow at 3 PM? Make it one our long and include the description 'Pick up prescription'.
"[""turn 1: What's the street address of the Sydney Opera House? -> The Sydney Opera House is at Bennelong Point, Sydney NSW\xa02000, Australia."", ""turn 2: Instruct Sarah (contact: 844-555-6789) 'Don't forget to water the plants.' -> Reminder successfully sent to 8445556789.""]"	Create an event at that place for a sunset outing on June 10 from 6 PM to 7 PM	Create an event at Bennelong Point, Sydney NSW 2000, Australia for a sunset outing on June 10 from 6 PM to 7 PM	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Sunset Outing', 'DESCRIPTION': 'Sunset outing', 'EVENT_LOCATION': 'Bennelong Point, Sydney NSW 2000, Australia', 'BEGIN_TIME': 1686333600000, 'END_TIME': 1686337200000}}	search_location-1137-ACTION_INSERT_EVENT-1-ACTION_INSERT_EVENT-1	1	['ACTION_INSERT_EVENT', 'ACTION_SHOW_ALARMS', 'open_settings', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_OPEN_CONTENT']	ACTION_INSERT_EVENT	Could you set up a sunset outing event at the Sydney Opera House on June 10 from 6 PM to 7 PM?	Could you set up a sunset outing event at Bennelong Point, Sydney NSW 2000, Australia on June 10 from 6 PM to 7 PM?	Could you set up a sunset outting event at the Sydney Opera House on June 10 from 6 PM to 7 PM?
"['turn 1: Find the GPS coordinates for the summit of Mount Fuji. -> Mount Fuji peak is at approximately 35.3606°\xa0N, 138.7274°\xa0E.', ""turn 2: Can you set an alarm for 03:03 in the morning called 'Early start', repeating Tuesdays and Fridays? -> Early start alarm alarm_no8 set for 3:03 AM on Tuesday and Friday.""]"	Schedule a summit hike there on August 1st from 6 AM to 6 PM titled Mt. Fuji Summit Hike with a full-day climb from the peak.	Schedule a summit hike at 35.3606° N, 138.7274° E on August 1st from 6 AM to 6 PM titled Mt. Fuji Summit Hike with a full-day climb from the peak.	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Mt. Fuji Summit Hike', 'DESCRIPTION': 'Full-day climb from the peak', 'EVENT_LOCATION': '35.3606° N, 138.7274° E', 'BEGIN_TIME': 1690783200000, 'END_TIME': 1690826400000}}	search_location-1136-send_email-1-ACTION_INSERT_EVENT-1	1	['ACTION_GET_RINGTONE', 'ACTION_EDIT_DOCUMENT', 'ACTION_INSERT_EVENT', 'ACTION_VIEW_CALL_LOG', 'dial']	ACTION_INSERT_EVENT	"Plan a day hike to the summit of Mount Fuji on August 1st from 6 AM to 6 PM, titled ""Mt. Fuji Summit Hike""."	"Plan a day hike to the summit of Mount Fuji on August 1st from 6:00 to 18:00, titled ""Mt. Fuji Summit Hike""."	"Plan a day hike to the summit of Mount Fuji on August 1st from 6 AM to 6 PM, titled ""Mt. Fuji Sumit Hike""."
['turn 1: Could you find the precise address of the White House? -> Here you go: The White House at 1600 Pennsylvania Avenue NW, Washington, DC 20500, USA.', 'turn 2: View the details for event 450 in my calendar. -> Event 450: Budget Planning at 2:30\xa0PM on September 30, Location: Admin Office.']	Add an event titled 'White House Tour' there next Monday at 2pm with description 'Guided tour' lasting two hours.	Add an event titled 'White House Tour' at 1600 Pennsylvania Avenue NW, Washington, DC 20500, USA next Monday at 2pm with description 'Guided tour' lasting two hours.	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'White House Tour', 'DESCRIPTION': 'Guided tour', 'EVENT_LOCATION': '1600 Pennsylvania Avenue NW, Washington, DC 20500, USA', 'BEGIN_TIME': 1700700000000, 'END_TIME': 1700710800000}}	search_location-1159-ACTION_INSERT_EVENT-1-ACTION_INSERT_EVENT-1	1	['ACTION_EDIT_VIDEO', 'ACTION_OPEN_CONTENT', 'ACTION_INSERT_EVENT', 'search_location', 'ACTION_EDIT_ALARM']	ACTION_INSERT_EVENT	Please add an event titled 'White House Tour' next Monday at 2 PM at 1600 Pennsylvania Avenue NW, Washington, DC 20500, with the description 'Guided tour' and a duration of two hours.	Please add an event titled 'White House Tour' next Monday at 2 PM at 1600 Pennsylvania Avenue NW, Washington, DC 20500, with the description 'Guided tour' and a duration of two hours.	Please add an event titled 'White House Tour' next Monday at 2 PM at 1600 Pennsylvania Avenue NW, Washington, DC 20500, with the description 'Guided tour' and a duraion of two hours.
"['turn 1: Show me where Mount Kilimanjaro stands. -> Mount Kilimanjaro is at 3.0674°\xa0S, 37.3556°\xa0E—displaying it on your map now.', 'turn 2: Schedule \'Thanksgiving Dinner\' on November 22, 2024 from 11:00 AM to 1:00 PM at Mom\'s House for a family gathering. -> Your ""Thanksgiving Dinner"" is confirmed for November 22, 2024 at 11:00\xa0AM at Mom’s House. Tap here for details: content://calendar/event/8']"	Schedule a sunrise hike at that location this Saturday from 6 AM to 8 AM	Schedule a sunrise hike at 3.0674° S, 37.3556° E this Saturday from 6:00 to 8:00	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Sunrise Hike', 'DESCRIPTION': 'Sunrise hike', 'EVENT_LOCATION': '3.0674° S, 37.3556° E', 'BEGIN_TIME': 1689919200000, 'END_TIME': 1689926400000}}	search_location-1162-open_settings-1_NR-ACTION_INSERT_EVENT-1	1	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_OPEN_CONTENT', 'ACTION_SET_RINGTONE', 'ACTION_VIEW_PLAYLIST', 'ACTION_INSERT_EVENT']	ACTION_INSERT_EVENT	Schedule a sunrise hike at that location for this Saturday morning, from 6:00 AM to 8:00 AM.	Schedule a sunrise hike at 3.0674° S, 37.3556° E for this Saturday morning, from 6:00 AM to 8:00 AM.	Schedule a sunrise hike at that location for this Satuday morning, from 6:00 AM to 8:00 AM.
['turn 1: I want a 6:00 PM alert on Mondays and Thursdays to take my medicine. -> Sure thing! Alarm (ID: alarm_no1) has been set for 6:00 PM on Mondays and Thursdays: Take medicine.', 'turn 2: Fetch multiple Excel spreadsheets from your local storage. -> Fetched the requested spreadsheets:\n• content://spreadsheets/budget_report.xls\n• content://spreadsheets/sales_data.xls']	List all my alarms.	List all alarms.	{'plan': 'ACTION_SHOW_ALARMS', 'arguments': {}}	ACTION_SET_ALARM-554-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_SHOW_ALARMS-2	1	['ACTION_GET_RINGTONE', 'ACTION_GET_CONTENT', 'ACTION_VIEW_RECENT_APPS', 'ACTION_VIEW_CALL_LOG', 'ACTION_SHOW_ALARMS']	ACTION_SHOW_ALARMS	Could you list all of my alarms?	List all alarms.	Could you list all of my alrms?
['turn 1: Could you modify alarm 3 to 06:00 on weekdays only? -> Alarm 3 is now set for 6:00\xa0AM, Monday through Friday.', 'turn 2: Let’s open the camera to record video. -> Video camera launched successfully.']	Show these alarms	Show the alarms including Alarm 3 set to 6:00 AM, Monday through Friday	{'plan': 'ACTION_SHOW_ALARMS', 'arguments': {}}	ACTION_EDIT_ALARM-1623-ACTION_SHOW_ALARMS-1-ACTION_SHOW_ALARMS-1	1	['ACTION_EDIT_VIDEO', 'dial', 'ACTION_GET_CONTENT', 'send_email', 'ACTION_SHOW_ALARMS']	ACTION_SHOW_ALARMS	Show me my alarms	Show me alarm 3 is now set for 6:00 AM, Monday through Friday	Show me my alrams
['turn 1: Could you turn off the vibration and move alarm 13 to 21:45? -> Alarm 13 has been updated to 9:45\xa0PM and will now be silent.', 'turn 2: Could I choose a few AVI videos to compile into a highlight reel? -> Go ahead and select multiple AVI videos for your highlight reel.']	Show those alarms	Show the alarms including Alarm 13 set to 9:45 PM and silent	{'plan': 'ACTION_SHOW_ALARMS', 'arguments': {}}	ACTION_EDIT_ALARM-1643-ACTION_SHOW_ALARMS-1-ACTION_SHOW_ALARMS-1	1	['ACTION_SHOW_ALARMS', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_VIEW_PLAYLIST', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_IMAGE_CAPTURE']	ACTION_SHOW_ALARMS	Can you show me my alarms?	Can you show me alarm 13?	Can you show me my alrams?
"[""turn 1: At 15:15, schedule an alarm with label 'Test Alert' and do not show the clock UI. -> Alarm configured (ID: alarm_no5) at 3:15\xa0PM: Test Alert (UI confirmation skipped)."", 'turn 2: I would like to know the phone number tied to content://profiles/contacts/300. -> This contact’s phone is 213‑555‑9876.']"	Display the alarms I've created.	Display alarms.	{'plan': 'ACTION_SHOW_ALARMS', 'arguments': {}}	ACTION_SET_ALARM-598-ACTION_SHOW_ALARMS-1-ACTION_SHOW_ALARMS-1	1	['ACTION_VIEW_SENT_EMAILS', 'ACTION_IMAGE_CAPTURE', 'ACTION_EDIT_VIDEO', 'ACTION_SHOW_ALARMS', 'ACTION_GET_RINGTONE']	ACTION_SHOW_ALARMS	Show me the alarms I’ve set.	Show me the alarm(s) currently set on my device.	Show me the arms I’ve set.
"[""turn 1: Alarm for 15:00 called 'Coffee break' next Wednesday. -> Done! Alarm (alarm_no10) set for 3:00 PM on Wednesday: Coffee break."", ""turn 2: Let's have a look at the 'Party Starters' playlist. -> Playlist 'Party Starters': Black\xa0Eyed\xa0Peas\xa0–\xa0I\xa0Gotta\xa0Feeling; LMFAO\xa0–\xa0Party\xa0Rock\xa0Anthem; Pitbull\xa0–\xa0Don't\xa0Stop\xa0the\xa0Party; Avicii\xa0–\xa0Levels""]"	Show the alarm I just set.	Show the alarm set for 3:00 PM on Wednesday: Coffee break.	{'plan': 'ACTION_SHOW_ALARMS', 'arguments': {}}	ACTION_SET_ALARM-563-ACTION_EDIT_ALARM-1-ACTION_SHOW_ALARMS-1	1	['ACTION_SHOW_ALARMS', 'ACTION_SET_RINGTONE', 'search_location', 'ACTION_OPEN_DOCUMENT', 'ACTION_VIEW_SENT_EMAILS']	ACTION_SHOW_ALARMS	Can you show me the alarm I just set?	Can you show me alarm_no10?	Can you show me the alram I just set?
"[""turn 1: Set a 1 hour and 30 minute timer labeled 'Meeting Reminder'. -> Okay, 1-hour 30-minute timer set: Meeting Reminder."", 'turn 2: Launch the camera interface and snap a photo. -> Okay, picture taken! You can find it at content://media/external/images/media/12345.']"	Show me that meeting reminder timer.	Show me the 1-hour 30-minute timer labeled 'Meeting Reminder'.	{'plan': 'ACTION_SHOW_TIMERS', 'arguments': {}}	ACTION_SET_TIMER-600-ACTION_SHOW_TIMERS-1-ACTION_SHOW_TIMERS-1	1	['get_contact_info', 'ACTION_SET_ALARM', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_SHOW_TIMERS']	ACTION_SHOW_TIMERS	Could you show me the meeting reminder timer I set for 1 hour and 30 minutes?	Could you show me the Meeting Reminder timer I set for 1 hour and 30 minutes?	Could you show me the meeting reminder timer I set for 1 our and 30 minutes?
['turn 1: Could you create a countdown of 0.5 hours, call it session? -> Timer set for 30 minutes: session.', 'turn 2: I want to change my alarm ringtone—open the picker now. -> On it! Showing you the alarm ringtone picker.']	List my timers, including that session timer.	List my timers, including the 30-minute session timer.	{'plan': 'ACTION_SHOW_TIMERS', 'arguments': {}}	ACTION_SET_TIMER-633-ACTION_SHOW_TIMERS-1-ACTION_SHOW_TIMERS-1	1	['ACTION_SET_RINGTONE', 'send_message', 'ACTION_SHOW_TIMERS', 'ACTION_SET_TIMER', 'search_location']	ACTION_SHOW_TIMERS	Could you list all my timers, including the 30-minute timer named “session”?	Could you list all my timers, including the 30-minute timer named “session”?	Could you lits all my timers, including the 30-minute timer named “session”?
['turn 1: Timer: 25 minutes for baking bread. -> Timer set for 25 minutes: baking bread.', 'turn 2: Search the map for the Pentagon building address. -> Found it: The Pentagon, Washington, DC 20301, USA.']	Show all active timers including that baking bread timer.	Show all active timers including the 25-minute baking bread timer.	{'plan': 'ACTION_SHOW_TIMERS', 'arguments': {}}	ACTION_SET_TIMER-631-ACTION_SHOW_TIMERS-1-ACTION_SHOW_TIMERS-1	1	['ACTION_SHOW_TIMERS', 'search_location', 'ACTION_EDIT_ALARM', 'ACTION_VIEW_PLAYLIST', 'web_search']	ACTION_SHOW_TIMERS	Show all active timers, including the one set for baking bread.	Show all active timers, including the timer set for 25 minutes: baking bread.	Show all active timers, including the one set for baking bred.
