conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
['turn 1: Press camera shutter and save the image to content://photos/app_saved/new_photo.jpeg -> Done! Your photo is now stored at content://photos/app_saved/new_photo.jpeg.', 'turn 2: Let me see content://photos/app_saved/new_photo.jpeg -> Got it—here’s your new photo.']	Display that photo	Display content://photos/app_saved/new_photo.jpeg	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://photos/app_saved/new_photo.jpeg'}}	ACTION_IMAGE_CAPTURE-340-ACTION_OPEN_CONTENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_EDIT_CONTACT', 'ACTION_VIDEO_CAPTURE', 'ACTION_VIEW_CONTACT', 'ACTION_OPEN_CONTENT', 'open_settings']
"['turn 1: Shoot and let the app handle file location. -> Shot fired! Image stored at content://camera_roll/IMG_7890.png.', ""turn 2: Please retrieve a mobile phone number from my contacts for me. -> Here's the mobile number you picked: content://contacts/phone/89""]"	Open that captured image	Open content://camera_roll/IMG_7890.png	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://camera_roll/IMG_7890.png'}}	ACTION_IMAGE_CAPTURE-372-ACTION_PICK-1_NR-ACTION_OPEN_CONTENT-1	1	['send_email', 'dial', 'ACTION_EDIT_ALARM', 'ACTION_EDIT_DOCUMENT', 'ACTION_OPEN_CONTENT']
"['turn 1: Please record a video and let the camera choose where to save it. -> Video captured! You can find it at content://videos/auto_recording_004.mp4.', ""turn 2: Mute content://videos/auto_recording_004.mp4 so there's no audio -> All done—your recording is now silent: content://videos/auto_recording_004_muted.mp4""]"	Show that video	Show content://videos/auto_recording_004.mp4	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/auto_recording_004.mp4', 'mime_type': 'video/mp4'}}	ACTION_VIDEO_CAPTURE-712-ACTION_EDIT_VIDEO-1-ACTION_OPEN_CONTENT-1	1	['get_contact_info', 'get_contact_info_from_uri', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_CALL_LOG', 'ACTION_SHOW_TIMERS']
['turn 1: Record this event, saving it to content://events/event123.mp4. -> Recording this event now. The video will be saved to content://events/event123.mp4.', 'turn 2: Mute the audio of content://events/event123.mp4. -> Audio track removed. Your muted video is at content://events/event123_muted.mp4']	Play that event video.	Play content://events/event123.mp4	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://events/event123.mp4', 'mime_type': 'video/mp4'}}	ACTION_VIDEO_CAPTURE-744-ACTION_EDIT_VIDEO-1-ACTION_OPEN_CONTENT-1	1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_OPEN_DOCUMENT', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_SENT_MESSAGES', 'get_contact_info_from_uri']
"['turn 1: Record a short video clip of my surroundings. -> All set—your surroundings clip is saved to content://videos/surroundings_002.mp4.', ""turn 2: Mute content://videos/surroundings_002.mp4's audio completely -> Your surroundings video is now silent: content://videos/surroundings_002_muted.mp4""]"	Open that surroundings clip	Open content://videos/surroundings_002.mp4	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/surroundings_002.mp4'}}	ACTION_VIDEO_CAPTURE-707-ACTION_EDIT_VIDEO-1-ACTION_OPEN_CONTENT-2	1	['ACTION_OPEN_CONTENT', 'ACTION_GET_RINGTONE', 'ACTION_VIEW_RECENT_APPS', 'ACTION_VIDEO_CAPTURE', 'get_contact_info_from_uri']
"['turn 1: Please create a PDF invoice named Invoice_March2024.pdf. -> Invoice_March2024.pdf has been created successfully at content://documents/Invoice_March2024.pdf.', ""turn 2: Append payment terms to content://documents/Invoice_March2024.pdf at the end of the document. -> All set! I've opened Invoice_March2024.pdf, appended the payment terms at the end, and it’s ready for your review here: content://documents/Invoice_March2024.pdf.""]"	Text that invoice to our accounting team with 'Here's the March invoice for your records.'	Text content://documents/Invoice_March2024.pdf to our accounting team with 'Here's the March invoice for your records.'	"{'plan': 'send_message', 'arguments': {'to': 'our accounting team', 'message': ""Here's the March invoice for your records."", 'attachments': ['content://documents/Invoice_March2024.pdf']}}"	ACTION_CREATE_DOCUMENT-15-ACTION_EDIT_DOCUMENT-1-send_message-1	1	['ACTION_VIEW_EVENT', 'send_message', 'ACTION_INSERT_EVENT', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_VIDEO_CAPTURE']
"[""turn 1: Kindly create an Excel spreadsheet titled Budget.xlsx. -> Your new spreadsheet 'Budget.xlsx' has been created. You can access it here: content://documents/Budget.xlsx"", ""turn 2: Show content://documents/Budget.xlsx to me -> Opening spreadsheet 'Budget.xlsx' at content://documents/Budget.xlsx.""]"	Send that spreadsheet to the finance department and say 'Please update the budget figures.'	Send content://documents/Budget.xlsx to the finance department and say 'Please update the budget figures.'	{'plan': 'send_message', 'arguments': {'to': 'the finance department', 'message': 'Please update the budget figures.', 'attachments': ['content://documents/Budget.xlsx']}}	ACTION_CREATE_DOCUMENT-31-ACTION_OPEN_CONTENT-1-send_message-1	1	['ACTION_VIEW_RECENT_APPS', 'ACTION_SET_ALARM', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_ALARM', 'send_message']
"[""turn 1: Can you create an SVG diagram file called diagram.svg? -> Done creating 'diagram.svg'. You can find it here: content://documents/diagram.svg"", 'turn 2: Please view content://documents/diagram.svg -> Rendering SVG diagram from content://documents/diagram.svg.']"	Forward that diagram to Sarah with 'Here's the diagram for our next meeting.'	Forward content://documents/diagram.svg to Sarah with 'Here's the diagram for our next meeting.'	"{'plan': 'send_message', 'arguments': {'to': 'Sarah', 'message': ""Here's the diagram for our next meeting."", 'attachments': ['content://documents/diagram.svg']}}"	ACTION_CREATE_DOCUMENT-33-ACTION_OPEN_CONTENT-1-send_message-1	1	['send_message', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_IMAGE_CAPTURE', 'ACTION_INSERT_CONTACT']
"[""turn 1: Generate a GIF animation file named animation.gif. -> All set! Your GIF 'animation.gif' is ready at content://documents/animation.gif"", ""turn 2: Send content://documents/animation.gif to design@company.com with the subject 'New animation feedback'. -> Your feedback request ('New animation feedback') has been sent to design@company.com.""]"	Text it to +19876543210 saying 'Sending over the new animation file as discussed.'	Text content://documents/animation.gif to +19876543210 saying 'Sending over the new animation file as discussed.'	{'plan': 'send_message', 'arguments': {'to': '+19876543210', 'message': 'Sending over the new animation file as discussed.', 'attachments': ['content://documents/animation.gif']}}	ACTION_CREATE_DOCUMENT-32-send_email-1-send_message-1	1	['ACTION_VIEW_WEB_HISTORY', 'send_message', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_GET_CONTENT', 'ACTION_OPEN_DOCUMENT']
"['turn 1: Allow me to choose several JPEG or PNG photos from my gallery. -> Here are your selected photos:\n- content://gallery/vacation/beach1.jpg\n- content://gallery/vacation/mountain_view.png', ""turn 2: Create a new PDF named VacationAlbum.pdf with content://gallery/vacation/beach1.jpg and content://gallery/vacation/mountain_view.png -> Your PDF album 'VacationAlbum.pdf' is ready at content://documents/VacationAlbum.pdf, containing the photos you picked.""]"	Send these to Mom with the message 'Check out our vacation photos!'	Send content://gallery/vacation/beach1.jpg and content://gallery/vacation/mountain_view.png to Mom with the message 'Check out our vacation photos!'	{'plan': 'send_message', 'arguments': {'to': 'Mom', 'message': 'Check out our vacation photos!', 'attachments': ['content://gallery/vacation/beach1.jpg', 'content://gallery/vacation/mountain_view.png']}}	ACTION_OPEN_DOCUMENT-127-ACTION_CREATE_DOCUMENT-1-send_message-1	1	['send_message', 'ACTION_INSERT_CONTACT', 'ACTION_EDIT_DOCUMENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_NAVIGATE_TO_LOCATION']
['turn 1: Let me open a plain text note. -> Please pick a plain text file to open.', 'turn 2: Please create a new plain text file to open named Notes.txt. -> A new plain text note “Notes.txt” has been created. You can view it at content://documents/Notes.txt.']	Send that note to Mary saying 'Here's my draft.'	Send the selected plain text note to Mary in a text message saying 'Here's my draft.'	"{'plan': 'send_message', 'arguments': {'to': 'Mary', 'message': ""Here's my draft.""}}"	ACTION_OPEN_DOCUMENT-133-ACTION_CREATE_DOCUMENT-1-send_message-1	1	['ACTION_SHOW_ALARMS', 'send_message', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_CREATE_DOCUMENT', 'ACTION_GET_RINGTONE']
['turn 1: Fetch multiple Excel spreadsheets from your local storage. -> Fetched the requested spreadsheets:\n• content://spreadsheets/budget_report.xls\n• content://spreadsheets/sales_data.xls', 'turn 2: I am looking for address information for the contact at /contacts/tina_address. -> Tina’s address is 123 Maple Street, Springfield, IL 62704.']	Send those spreadsheets to +15557654321 with note 'Attached the budget and sales data.'	Send content://spreadsheets/budget_report.xls and content://spreadsheets/sales_data.xls to +15557654321 with note 'Attached the budget and sales data.'	{'plan': 'send_message', 'arguments': {'to': '+15557654321', 'message': 'Attached the budget and sales data.', 'attachments': ['content://spreadsheets/budget_report.xls', 'content://spreadsheets/sales_data.xls']}}	ACTION_GET_CONTENT-173-get_contact_info-1_NR-send_message-1	1	['ACTION_VIEW_EVENT', 'dial', 'send_message', 'send_email', 'ACTION_GET_CONTENT']
['turn 1: Execute script install.sh from content://scripts/install.sh -> Opening script install.sh at content://scripts/install.sh.', 'turn 2: I need to dial someone soon; select their phone number from my phonebook. -> Dialer contact selector is up. You picked content://contacts/phone/55.']	Send that script to John with a note 'Please review this installation script.'	Send content://scripts/install.sh to John with a note 'Please review this installation script.'	{'plan': 'send_message', 'arguments': {'to': 'John', 'message': 'Please review this installation script.', 'attachments': ['content://scripts/install.sh']}}	ACTION_OPEN_CONTENT-251-ACTION_PICK-1_NR-send_message-1	1	['ACTION_VIDEO_CAPTURE', 'ACTION_EDIT_VIDEO', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'send_message', 'ACTION_NAVIGATE_TO_LOCATION']
"['turn 1: Load the JSON records at content://data/records.json -> Fetching JSON data from content://data/records.json.', ""turn 2: Please pick someone's address for mailing purposes from my contacts. -> Got it! Address chosen: content://contacts/address/57""]"	Share that JSON file with Emily in a message saying 'Here's the dataset for review'.	Share content://data/records.json with Emily in a message saying 'Here's the dataset for review'.	"{'plan': 'send_message', 'arguments': {'to': 'Emily', 'message': ""Here's the dataset for review"", 'attachments': ['content://data/records.json']}}"	ACTION_OPEN_CONTENT-253-ACTION_PICK-1_NR-send_message-1	1	['send_message', 'ACTION_VIEW_RECENT_APPS', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_VIEW_EVENT', 'ACTION_VIEW_WEB_HISTORY']
['turn 1: Please open the settings XML file: content://data/settings.xml (application/xml). -> Displaying settings.xml (application/xml) at content://data/settings.xml.', 'turn 2: Activate the video recording mode on my phone, please. -> Video camera mode is now on. You can begin filming.']	Send that xml file to the admin saying 'Attached is the latest settings file.'	Send content://data/settings.xml to the admin saying 'Attached is the latest settings file.'	{'plan': 'send_message', 'arguments': {'to': 'the admin', 'message': 'Attached is the latest settings file.', 'attachments': ['content://data/settings.xml']}}	ACTION_OPEN_CONTENT-254-INTENT_ACTION_VIDEO_CAMERA-1_NR-send_message-1	1	['web_search', 'ACTION_OPEN_DOCUMENT', 'play_video', 'send_message', 'dial']
"['turn 1: Display the TAR archive: content://archives/backup.tar (application/x-tar). -> Showing TAR archive backup.tar (application/x-tar) from content://archives/backup.tar.', ""turn 2: Schedule a 'Kids Playdate' event described as an afternoon of fun at the park. The location is Local Playground and it should take place from 1702300000000 to 1702303600000. -> I've added 'Kids Playdate' for December 11, 2023 at Local Playground. Check it here: content://calender/event/4""]"	Share that TAR archive in a text message with Sam saying 'Here's the backup archive.'	Share content://archives/backup.tar in a text message with Sam saying 'Here's the backup archive.'	"{'plan': 'send_message', 'arguments': {'to': 'Sam', 'message': ""Here's the backup archive."", 'attachments': ['content://archives/backup.tar']}}"	ACTION_OPEN_CONTENT-259-ACTION_INSERT_EVENT-1_NR-send_message-1	1	['ACTION_CREATE_DOCUMENT', 'open_settings', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_SET_RINGTONE', 'send_message']
['turn 1: Please take a photo and let the system decide where to save it. -> Got it. Photo taken and stored at content://media/internal/photos/IMG_20230615_100200.jpg.', 'turn 2: Select a personal contact entry from my list. -> Personal contacts shown. You chose content://contacts/people/27.']	Text that photo to Mom saying 'Check out this photo!'	Text content://media/internal/photos/IMG_20230615_100200.jpg to Mom saying 'Check out this photo!'	{'plan': 'send_message', 'arguments': {'to': 'Mom', 'message': 'Check out this photo!', 'attachments': ['content://media/internal/photos/IMG_20230615_100200.jpg']}}	ACTION_IMAGE_CAPTURE-370-ACTION_PICK-1_NR-send_message-1	1	['ACTION_INSERT_EVENT', 'send_message', 'ACTION_SET_TIMER', 'ACTION_VIEW_WEB_HISTORY', 'launch_application']
['turn 1: I want to capture an image and store it at content://app.images/captured/selfie.jpg -> Got it—camera is launching. Your selfie will be saved to content://app.images/captured/selfie.jpg.', 'turn 2: Show me content://app.images/captured/selfie.jpg -> Opening your selfie: content://app.images/captured/selfie.jpg']	Text that selfie to my friend Sarah saying 'Check out this selfie I just took!'	Text content://app.images/captured/selfie.jpg to my friend Sarah saying 'Check out this selfie I just took!'	{'plan': 'send_message', 'arguments': {'to': 'my friend Sarah', 'message': 'Check out this selfie I just took!', 'attachments': ['content://app.images/captured/selfie.jpg']}}	ACTION_IMAGE_CAPTURE-327-ACTION_OPEN_CONTENT-1-send_message-1	1	['ACTION_OPEN_CONTENT', 'launch_application', 'send_message', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_DOCUMENT']
['turn 1: Create a contact for Michael Scott, job title Regional Manager, company Dunder Mifflin. -> Contact created for Michael Scott, Regional Manager at Dunder Mifflin. URI: content://contacts/people/michael_scott', 'turn 2: Open content://contacts/people/michael_scott contact profile -> Opening Michael Scott’s profile: content://contacts/people/michael_scott']	Text him saying 'Reminder: the regional managers meeting is at 10 AM tomorrow.'	Text Michael Scott saying 'Reminder: the regional managers meeting is at 10 AM tomorrow.'	{'plan': 'send_message', 'arguments': {'to': 'Michael Scott', 'message': 'Reminder: the regional managers meeting is at 10 AM tomorrow.'}}	ACTION_INSERT_CONTACT-423-ACTION_VIEW_CONTACT-1-send_message-1	1	['ACTION_CREATE_DOCUMENT', 'ACTION_OPEN_CONTENT', 'ACTION_SHOW_ALARMS', 'ACTION_NAVIGATE_TO_LOCATION', 'send_message']
['turn 1: Add Lucas Wright to my address book with phone: 321-654-0987 and home address: 456 Maple Street. -> Creating Lucas Wright’s contact: phone 321‑654‑0987 and address 456 Maple Street are filled in.', 'turn 2: Dial 321-654-0987 now -> Calling 321-654-0987 now...']	Text him saying 'Looking forward to catching up next week at your place.'	Text Lucas Wright saying 'Looking forward to catching up next week at your place.'	{'plan': 'send_message', 'arguments': {'to': 'Lucas Wright', 'message': 'Looking forward to catching up next week at your place.'}}	ACTION_INSERT_CONTACT-392-dial-1-send_message-1	1	['ACTION_VIEW_CONTACT', 'ACTION_SET_ALARM', 'ACTION_INSERT_CONTACT', 'ACTION_SHOW_ALARMS', 'send_message']
"[""turn 1: I want to save Maya Lopez's birthday as May 10, 1995. -> All set! Maya Lopez’s contact (birthday: May\xa010,\xa01995) has been created. You can view it here: content://contacts/people/maya_lopez"", 'turn 2: Add an email to content://contacts/people/maya_lopez: maya.lopez@example.com -> Done! Maya Lopez’s email has been updated to maya.lopez@example.com. You can check it here: content://contacts/people/maya_lopez']"	Text her saying 'Happy early birthday, Maya! Looking forward to celebrating on May 10th!'	Text Maya Lopez saying 'Happy early birthday, Maya! Looking forward to celebrating on May 10th!'	{'plan': 'send_message', 'arguments': {'to': 'Maya Lopez', 'message': 'Happy early birthday, Maya! Looking forward to celebrating on May 10th!'}}	ACTION_INSERT_CONTACT-401-ACTION_EDIT_CONTACT-1-send_message-1	1	['ACTION_EDIT_CONTACT', 'send_message', 'ACTION_VIEW_EVENT', 'ACTION_SET_TIMER', 'ACTION_VIEW_CALL_LOG']
"['turn 1: Add Sam Wilson with number 777-888-9999, and birthday June 30, 1985. -> Sam\xa0Wilson’s contact (phone & birthday) saved successfully! content://contacts/people/sam_wilson', ""turn 2: Add email to content://contacts/people/sam_wilson: 'sam.wilson@example.com' -> Great news! Sam Wilson’s email (sam.wilson@example.com) has been added. Check it out at content://contacts/people/sam_wilson""]"	Text him saying 'Hey Sam, I’ve got your number saved. Talk later!'	Text Sam Wilson saying 'Hey Sam, I’ve got your number saved. Talk later!'	{'plan': 'send_message', 'arguments': {'to': 'Sam Wilson', 'message': 'Hey Sam, I’ve got your number saved. Talk later!'}}	ACTION_INSERT_CONTACT-406-ACTION_EDIT_CONTACT-1-send_message-1	1	['send_message', 'ACTION_SHOW_TIMERS', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_SENT_EMAILS']
"[""turn 1: Schedule an all-hands meeting titled 'Company Update' on July 1, 2024 from 10 AM – 11 AM. -> All-hands meeting “Company Update” is booked for July 1, 2024, 10:00\xa0AM–11:00\xa0AM. Here’s the link: content://calendar/event/5"", 'turn 2: Show me content://calendar/event/5. -> Company Update (All‑hands meeting): July 1, 2024, 10:00\xa0AM–11:00\xa0AM.']"	Text me that all-hands meeting details	Text me the all-hands meeting 'Company Update' on July 1, 2024 from 10:00 AM to 11:00 AM	{'plan': 'send_message', 'arguments': {'to': 'me', 'message': 'All-hands meeting Company Update on July 1, 2024 from 10:00 AM to 11:00 AM.'}}	ACTION_INSERT_EVENT-460-ACTION_VIEW_EVENT-1-send_message-1	1	['ACTION_VIEW_SENT_EMAILS', 'ACTION_OPEN_DOCUMENT', 'ACTION_PICK', 'ACTION_INSERT_CONTACT', 'send_message']
['turn 1: Capture a quick video snippet to content://snippets/clip.mp4. -> Recording a quick snippet—saving it to content://snippets/clip.mp4.', 'turn 2: Mute content://snippets/clip.mp4 throughout -> Done! The clip has been muted. Grab the silent version: content://snippets/clip_silent.mp4.']	Send that snippet to +15551234567 with a note saying 'Here's the video snippet for review'	Send content://snippets/clip.mp4 to +15551234567 with a note saying 'Here's the video snippet for review'	"{'plan': 'send_message', 'arguments': {'to': '+15551234567', 'message': ""Here's the video snippet for review"", 'attachments': ['content://snippets/clip.mp4']}}"	ACTION_VIDEO_CAPTURE-751-ACTION_EDIT_VIDEO-1-send_message-1	1	['search_location', 'web_search', 'ACTION_SET_RINGTONE', 'ACTION_VIEW_WEB_HISTORY', 'send_message']
['turn 1: Need a video capture, file URI: content://captures/vid_capture.mp4. -> Starting video capture now. Your file will be saved to content://captures/vid_capture.mp4.', 'turn 2: Trim content://captures/vid_capture.mp4 down to the first 5 minutes -> First 5 minutes extracted. Your trimmed video is available at content://captures/vid_capture_first5min.mp4.']	Send that capture to +447700900123 with the comment 'See what I just recorded'	Send content://captures/vid_capture.mp4 to +447700900123 with the comment 'See what I just recorded'	{'plan': 'send_message', 'arguments': {'to': '+447700900123', 'message': 'See what I just recorded', 'attachments': ['content://captures/vid_capture.mp4']}}	ACTION_VIDEO_CAPTURE-753-ACTION_EDIT_VIDEO-1-send_message-1	1	['ACTION_SHOW_ALARMS', 'send_message', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_EDIT_CONTACT', 'ACTION_EDIT_DOCUMENT']
"['turn 1: Please record a video and let the camera choose where to save it. -> Video captured! You can find it at content://videos/auto_recording_004.mp4.', ""turn 2: Mute content://videos/auto_recording_004.mp4 so there's no audio -> All done—your recording is now silent: content://videos/auto_recording_004_muted.mp4""]"	Send that video to Sarah with the message 'Here’s the video from earlier'.	Send content://videos/auto_recording_004.mp4 to Sarah with the message 'Here’s the video from earlier'.	{'plan': 'send_message', 'arguments': {'to': 'Sarah', 'message': 'Here’s the video from earlier', 'attachments': ['content://videos/auto_recording_004.mp4']}}	ACTION_VIDEO_CAPTURE-712-ACTION_EDIT_VIDEO-1-send_message-1	1	['ACTION_VIEW_SENT_MESSAGES', 'ACTION_SET_ALARM', 'web_search', 'send_message', 'ACTION_VIEW_CONTACT']
