conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
"['turn 1: I need to select both images and videos. -> Understood. Please select the images and videos you need—you can pick more than one.', ""turn 2: I'm looking for reviews of the top fitness trackers right now; can you search that for me? -> Searching for 'reviews of top fitness trackers'... Comparing options like Fitbit, Apple\xa0Watch, Garmin, and their key features."", 'turn 3: Select one person from my contacts database. -> Contact picked: content://contacts/people/3', ""turn 4: Set content://contacts/people/3's company to Initech and email to peter@initech.com -> Done! Peter’s record now lists company as Initech and email peter@initech.com. Contact URI: content://contacts/people/3""]"	Send those selected media files to friend@example.com saying 'Check out these pics and clips!'	Send the images and videos selected by the user to friend@example.com saying 'Check out these pics and clips!'	{'plan': 'send_email', 'arguments': {'to': 'friend@example.com', 'body': 'Check out these pics and clips!', 'attachments': ['selected_images', 'selected_videos']}}	ACTION_OPEN_DOCUMENT-157-web_search-1_NR-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_email-1	1	['ACTION_INSERT_CONTACT', 'open_settings', 'send_email', 'send_message', 'ACTION_EDIT_ALARM']
"['turn 1: Select multiple source code files in Python and Java. -> Opening the picker for Python and Java source files. You can select multiple .py and .java files.', 'turn 2: Create a new Python source code file named main.py. -> New Python file created: content://documents/main.py', 'turn 3: Edit content://documents/main.py to insert a main function template. -> Inserted a main function template into main.py. Ready for further coding here: content://documents/main.py', 'turn 4: I want to book an event called \'Dinner Party\' described as a celebration dinner for the team. It will take place at Alex\'s Restaurant from 1700400000000 to 1700407200000. -> All set! Your ""Dinner Party"" at Alex\'s Restaurant is on your calendar from 1700400000000 to 1700407200000. Here’s the link: content://calendar/event/2']"	Email those code files to devlead@project.com with subject 'Source Code' and body 'Here are the Python and Java files.'	Email the Python and Java source code files to devlead@project.com with subject 'Source Code' and body 'Here are the Python and Java files.'	{'plan': 'send_email', 'arguments': {'to': 'devlead@project.com', 'subject': 'Source Code', 'body': 'Here are the Python and Java files.'}}	ACTION_OPEN_DOCUMENT-161-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-ACTION_INSERT_EVENT-1_NR-send_email-1	1	['dial', 'ACTION_VIEW_RECENT_APPS', 'ACTION_SET_RINGTONE', 'ACTION_NAVIGATE_TO_LOCATION', 'send_email']
"['turn 1: Please generate a JPEG image and call it ProfilePic.jpg. -> Your JPEG image “ProfilePic.jpg” is all set at content://documents/ProfilePic.jpg.', ""turn 2: I would like to film something. Could you open my phone's video camera? -> Your phone’s video camera is active—start recording anytime."", 'turn 3: Record and save to content://mygallery/video1.mp4. -> Great! Your video has been captured and saved at content://mygallery/video1.mp4.', 'turn 4: Extract the segment from 5 seconds to 25 seconds and mute content://mygallery/video1.mp4 -> Here’s the segment you requested from 5s to 25s, with audio muted: content://mygallery/video1_clip.mp4.']"	Add a watermark that reads 'MyProfile' to that JPEG image	Add a watermark that reads 'MyProfile' to content://documents/ProfilePic.jpg	"{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/ProfilePic.jpg', 'content': ""Add a watermark that reads 'MyProfile'""}}"	ACTION_CREATE_DOCUMENT-20-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_VIDEO_CAPTURE-1-ACTION_EDIT_VIDEO-1-ACTION_EDIT_DOCUMENT-1	1	['ACTION_EDIT_DOCUMENT', 'search_location', 'launch_application', 'ACTION_SHOW_TIMERS', 'ACTION_INSERT_CONTACT']
"['turn 1: Create an XML config file named settings.xml. -> Your XML file settings.xml is now available at content://documents/settings.xml.', 'turn 2: Boot up the digital camera app for taking a static image. -> Still image camera is up. Ready to shoot.', ""turn 3: Let's take a shot -> Photo taken! It's available at content://camera/captures/2024-06-01_001.jpg"", 'turn 4: Turn on the camera app to capture a still image. -> Still image camera launched successfully. Feel free to snap your picture.']"	Insert a new entry `<timeout>30</timeout>` into that XML config file	Insert a new entry `<timeout>30</timeout>` into content://documents/settings.xml XML config file	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/settings.xml', 'content': 'Insert `<timeout>30</timeout>` entry'}}	ACTION_CREATE_DOCUMENT-14-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_IMAGE_CAPTURE-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_EDIT_DOCUMENT-1	1	['ACTION_SET_RINGTONE', 'ACTION_SET_ALARM', 'ACTION_EDIT_DOCUMENT', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_NAVIGATE_TO_LOCATION']
"[""turn 1: Please set up an MP4 video file called intro_video.mp4. -> Intro video 'intro_video.mp4' created successfully. Find it at content://videos/intro_video.mp4"", ""turn 2: Show me content://videos/intro_video.mp4. -> Playing 'intro_video.mp4' from content://videos/intro_video.mp4."", 'turn 3: I want to review the internal storage details; please open the corresponding settings screen. -> Internal storage settings opened. You can review usage and manage your files now.', ""turn 4: I am about to record an event. Open my phone's video recording application. -> Video recording mode launched. Feel free to start recording.""]"	Edit that video to add an opening title	Edit content://videos/intro_video.mp4 to add an opening title	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://videos/intro_video.mp4', 'content': 'Add an opening title'}}	ACTION_CREATE_DOCUMENT-37-ACTION_OPEN_CONTENT-1-open_settings-1_NR-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_EDIT_DOCUMENT-1	1	['ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_DOCUMENT', 'ACTION_IMAGE_CAPTURE', 'get_contact_info_from_uri', 'ACTION_VIEW_SENT_MESSAGES']
"[""turn 1: I'd like to create a new PowerPoint slide deck titled DraftDeck.pptx. -> DraftDeck.pptx is ready! You can find it here: content://documents/DraftDeck.pptx."", 'turn 2: Please open documents of type PDF and text. I would like the option to select more than one file. -> All set! I’ve got your selections:\n• content://docs/report.pdf\n• content://docs/notes.txt', ""turn 3: Send content://docs/report.pdf and content://docs/notes.txt to Sarah in a text message saying 'Here are the files you requested.' -> Files sent to Sarah successfully."", 'turn 4: Show the messages I sent Sarah. -> Your sent messages to Sarah: Sarah – ""Here are the files you requested.""']"	Edit that slide deck to add a title slide with the heading 'Quarterly Plan'	Edit content://documents/DraftDeck.pptx to add a title slide with the heading 'Quarterly Plan'	"{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/DraftDeck.pptx', 'content': ""Title slide with heading 'Quarterly Plan'""}}"	ACTION_CREATE_DOCUMENT-16-ACTION_OPEN_DOCUMENT-1_NR-send_message-1-ACTION_VIEW_SENT_MESSAGES-1-ACTION_EDIT_DOCUMENT-1	1	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_DOCUMENT', 'launch_application', 'ACTION_VIEW_EVENT']
"['turn 1: Create an XML config file named settings.xml. -> Your XML file settings.xml is now available at content://documents/settings.xml.', 'turn 2: Boot up the digital camera app for taking a static image. -> Still image camera is up. Ready to shoot.', 'turn 3: Show me the photo I just captured -> Photo you captured moments ago: content://temp/photo131.jpg', ""turn 4: Create a new image/jpeg document for content://temp/photo131.jpg named PhotoCopy131.jpg -> All set! Your copy 'PhotoCopy131.jpg' has been created at content://documents/PhotoCopy131.jpg.""]"	Send that config file to the engineering team with message 'Here is the XML settings you asked for.'	Send content://documents/settings.xml to the engineering team with message 'Here is the XML settings you asked for.'	{'plan': 'send_message', 'arguments': {'to': 'the engineering team', 'message': 'Here is the XML settings you asked for.', 'attachments': ['content://documents/settings.xml']}}	ACTION_CREATE_DOCUMENT-14-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-send_message-1	1	['send_message', 'ACTION_VIEW_CONTACT', 'ACTION_VIEW_EVENT', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_VIDEO_CAPTURE']
"['turn 1: Please generate a JPEG image and call it ProfilePic.jpg. -> Your JPEG image “ProfilePic.jpg” is all set at content://documents/ProfilePic.jpg.', ""turn 2: I would like to film something. Could you open my phone's video camera? -> Your phone’s video camera is active—start recording anytime."", 'turn 3: Choose a video clip for immediate sharing -> Sure thing! Here’s the clip ready to share: content://temp/shared_video.mp4', 'turn 4: Trim content://temp/shared_video.mp4 from 10 seconds to 40 seconds -> Done trimming from 0:10 to 0:40. Your clip is at content://temp/shared_video_10-40s.mp4.']"	Send that JPEG to Sarah with the message 'Thought I'd update my profile picture—what do you think?'	Send content://documents/ProfilePic.jpg to Sarah with the message 'Thought I'd update my profile picture—what do you think?'	"{'plan': 'send_message', 'arguments': {'to': 'Sarah', 'message': ""Thought I'd update my profile picture—what do you think?"", 'attachments': ['content://documents/ProfilePic.jpg']}}"	ACTION_CREATE_DOCUMENT-20-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_EDIT_VIDEO-1-send_message-1	1	['ACTION_OPEN_DOCUMENT', 'search_location', 'send_message', 'ACTION_SHOW_TIMERS', 'ACTION_SET_TIMER']
"[""turn 1: I want a WAV audio file titled audio_sample.wav. -> I've created your WAV file 'audio_sample.wav'. You can open it at content://documents/audio_sample.wav"", ""turn 2: Play content://documents/audio_sample.wav -> Now playing 'audio_sample.wav' from content://documents/audio_sample.wav."", 'turn 3: Could you pull up an email address from my directory? -> I’ve got an email address for you: content://contacts/email/8', 'turn 4: Update the name of content://contacts/email/8 to Elizabeth Taylor -> All done! The name for content://contacts/email/8 is now Elizabeth Taylor.']"	Send that WAV file to Alex saying 'Here's the audio sample for the project.'	Send content://documents/audio_sample.wav to Alex saying 'Here's the audio sample for the project.'	"{'plan': 'send_message', 'arguments': {'to': 'Alex', 'message': ""Here's the audio sample for the project."", 'attachments': ['content://documents/audio_sample.wav']}}"	ACTION_CREATE_DOCUMENT-35-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1	1	['ACTION_VIEW_SENT_MESSAGES', 'ACTION_OPEN_DOCUMENT', 'send_message', 'get_contact_info', 'ACTION_CREATE_DOCUMENT']
"['turn 1: Could you tweak contact content://contacts/people/matthew by changing the phone number to (123) 456-7890? -> Sure thing—Matthew’s phone number is now (123)\xa0456‑7890. You’ll find his updated contact at content://contacts/people/matthew', ""turn 2: Schedule an event 'Workshop on AI' that dives deep into AI trends and technologies. It should be held at Innovation Hub, from 1703800000000 to 1703807200000. -> Your 'Workshop on AI' is set at Innovation Hub from 1703800000000 to 1703807200000. Event ID: content://calendar/event/9"", 'turn 3: Where is Innovation Hub located exactly? -> Here’s Innovation Hub: 321 Tech Way, Silicon Valley, CA 94043.', 'turn 4: Please open the photo camera function on my device so I can take a snapshot. -> Photo mode activated—camera ready for your snapshot.']"	Send him a quick SMS saying 'Hi Matthew, I've updated your phone number. Let me know if this works!'	Send (123) 456-7890 a quick SMS saying 'Hi Matthew, I've updated your phone number. Let me know if this works!'	"{'plan': 'send_message', 'arguments': {'to': '(123) 456-7890', 'message': ""Hi Matthew, I've updated your phone number. Let me know if this works!""}}"	ACTION_EDIT_CONTACT-108-ACTION_INSERT_EVENT-1_NR-search_location-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-send_message-1	1	['send_message', 'ACTION_OPEN_DOCUMENT', 'ACTION_GET_RINGTONE', 'send_email', 'ACTION_OPEN_CONTENT']
['turn 1: Modify Jack’s email to jack@newmail.com and address to 42 Wallaby Way, Sydney. Contact: content://contacts/people/jackp. -> All set! Jack’s email is now jack@newmail.com and his address is updated to 42 Wallaby Way, Sydney.', 'turn 2: Show me content://contacts/people/jackp contact details. -> Here’s Jack P.’s full contact view (content://contacts/people/jackp). Let me know if you want any edits.', 'turn 3: Ring 555-123-4567 up -> Placing a call to 555-123-4567...', 'turn 4: What are my latest calls? -> Here’s the list of your latest calls:\n• 555-123-4567 (Outgoing) – Today, 3:05\xa0PM\n• 555-0155 (Incoming) – Yesterday, 2:00\xa0PM\n• 555-9876 (Missed) – June\xa010, 6:45\xa0PM']	Send him a message saying 'Hey Jack, just updated your email to jack@newmail.com and your address to 42 Wallaby Way, Sydney.'	Send 555-123-4567 a message saying 'Hey Jack, just updated your email to jack@newmail.com and your address to 42 Wallaby Way, Sydney.'	{'plan': 'send_message', 'arguments': {'to': '555-123-4567', 'message': 'Hey Jack, just updated your email to jack@newmail.com and your address to 42 Wallaby Way, Sydney.'}}	ACTION_EDIT_CONTACT-66-ACTION_VIEW_CONTACT-1-dial-1-ACTION_VIEW_CALL_LOG-1-send_message-1	1	['ACTION_CREATE_DOCUMENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'web_search', 'open_settings', 'send_message']
"['turn 1: Gather all Office documents (.doc, .docx, .xls, .xlsx, .ppt) in one go. -> Alright, you can select multiple Office documents—Word (.doc/.docx), Excel (.xls/.xlsx), and PowerPoint (.ppt). Please choose the files.', 'turn 2: Access one of my stored addresses from the contacts database. -> Address picker is ready. Address selected: content://contacts/address/15.', ""turn 3: Change content://contacts/address/15's email to jane.doe@example.com. -> Set email to jane.doe@example.com on the selected address record. (content://contacts/address/15)"", 'turn 4: Email jane.doe@example.com the confirmation about her updated email address -> Email dispatched to jane.doe@example.com confirming her updated email address.']"	Send them to +15557654321 with the message 'Please review these Office files.'	Send Word (.doc/.docx), Excel (.xls/.xlsx), and PowerPoint (.ppt) to +15557654321 with the message 'Please review these Office files.'	{'plan': 'send_message', 'arguments': {'to': '+15557654321', 'message': 'Please review these Office files.'}}	ACTION_OPEN_DOCUMENT-154-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_email-1-send_message-1	1	['send_message', 'ACTION_SET_TIMER', 'ACTION_PICK', 'send_email', 'ACTION_CREATE_DOCUMENT']
"[""turn 1: Please change Kate's phone from 9876543210 to 0123456789 at content://contacts/people/kate_l. -> Done! Kate’s phone number has been updated to 0123456789."", 'turn 2: Open content://contacts/people/kate_l contact’s info. -> All set—here’s Kate L.’s contact info (content://contacts/people/kate_l).', 'turn 3: Add 123 Elm Street, Springfield to Kate L.’s contact info (content://contacts/people/kate_l) -> Success! Added “123 Elm Street, Springfield” to Kate L.’s contact. Updated URI: content://contacts/people/kate_l', ""turn 4: Send Kate L. a message saying 'Just added your new address: 123 Elm Street, Springfield. Let me know if it's correct.' -> All set—message successfully sent to Kate L.""]"	Open that contact's details.	Open content://contacts/people/kate_l contact's details.	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/kate_l'}}	ACTION_EDIT_CONTACT-67-ACTION_VIEW_CONTACT-1-ACTION_EDIT_CONTACT-1-send_message-1-ACTION_VIEW_CONTACT-1	1	['play_video', 'ACTION_VIEW_CONTACT', 'ACTION_SET_TIMER', 'ACTION_EDIT_VIDEO', 'ACTION_VIDEO_CAPTURE']
['turn 1: Set up a record for Will Smith at Bel-Air Productions, phone 415-333-1212. -> Will Smith’s contact added. See content://contacts/people/will_smith', 'turn 2: Open content://contacts/people/will_smith details -> Loading Will Smith’s contact information: content://contacts/people/will_smith', 'turn 3: Call 415-333-1212. -> Initiating call to 415-333-1212...', 'turn 4: Turn on the video function of my camera so that I can start recording the demonstration. -> Video mode ready—go ahead and capture your demonstration.']	Display that contact's info	Display content://contacts/people/will_smith contact's info	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/will_smith'}}	ACTION_INSERT_CONTACT-427-ACTION_VIEW_CONTACT-1-dial-1-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_VIEW_CONTACT-1	1	['ACTION_SET_ALARM', 'ACTION_VIEW_CONTACT', 'ACTION_SET_TIMER', 'launch_application', 'dial']
"[""turn 1: What's the phone number for the contact with URI content://contacts/people/1011? -> The phone number for contact 1011 is (555) 321-4321."", 'turn 2: Locate (555) 321-4321 on the map -> I’m not finding a map location for that phone number.', 'turn 3: Can you prompt the video camera to start recording? -> Video camera is now running—record away!', ""turn 4: Please fire up my phone's still image camera for a snap. -> Still image camera launched successfully. Ready for your shot!""]"	Let me view that contact	Let me view the contact with URI content://contacts/people/1011	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1011'}}	get_contact_info-971-search_location-1-INTENT_ACTION_VIDEO_CAMERA-1_NR-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_VIEW_CONTACT-1	1	['ACTION_VIEW_RECENT_APPS', 'ACTION_VIEW_CONTACT', 'ACTION_IMAGE_CAPTURE', 'ACTION_OPEN_DOCUMENT', 'open_settings']
