conversation_history	query	rewrited_query	answer	unique_idx	candidates
['turn 1: I require selecting an image file. Let me pick one image from my gallery. -> Gallery picker ready for a single image. You’ve selected: content://media/external/images/media/2048.']	Send that image to bob@example.com with subject 'Check this out' and message 'What do you think of this photo?'	Send content://media/external/images/media/2048 to bob@example.com with subject 'Check this out' and message 'What do you think of this photo?'	{'plan': 'send_email', 'arguments': {'to': 'bob@example.com', 'subject': 'Check this out', 'body': 'What do you think of this photo?', 'attachments': ['content://media/external/images/media/2048']}}	ACTION_GET_RINGTONE-304-ACTION_SET_RINGTONE-1-ACTION_GET_RINGTONE-1-ACTION_OPEN_DOCUMENT-1_NR-send_email-1	['ACTION_VIEW_PLAYLIST', 'ACTION_INSERT_CONTACT', 'send_email', 'ACTION_VIEW_SENT_MESSAGES', 'web_search']
"[""turn 1: Need a dialog to choose a PDF document; I'm only selecting one file. -> Launching PDF selector—pick one document. You chose: content://drive/research/paper.pdf.""]"	Send it to prof.brown@university.edu with subject 'Paper Submission' and body 'Please find my research paper attached.'	Send content://drive/research/paper.pdf to prof.brown@university.edu with subject 'Paper Submission' and body 'Please find my research paper attached.'	{'plan': 'send_email', 'arguments': {'to': 'prof.brown@university.edu', 'subject': 'Paper Submission', 'body': 'Please find my research paper attached.', 'attachments': ['content://drive/research/paper.pdf']}}	send_email-1215-ACTION_VIEW_SENT_EMAILS-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_OPEN_DOCUMENT-1_NR-send_email-1	['ACTION_VIDEO_CAPTURE', 'ACTION_INSERT_EVENT', 'search_location', 'launch_application', 'send_email']
['turn 1: Grab the picture. -> Got it—your picture is here: content://camera/image/008.jpeg']	Email it to teamlead@example.com with subject 'Profile Picture'.	Email content://camera/image/008.jpeg to teamlead@example.com with subject 'Profile Picture'.	{'plan': 'send_email', 'arguments': {'to': 'teamlead@example.com', 'subject': 'Profile Picture', 'attachments': ['content://camera/image/008.jpeg']}}	INTENT_ACTION_VIDEO_CAMERA-900-ACTION_VIDEO_CAPTURE-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-send_email-1	['open_settings', 'send_email', 'ACTION_EDIT_VIDEO', 'ACTION_EDIT_CONTACT', 'ACTION_VIEW_WEB_HISTORY']
['turn 1: Select the still image photo. -> Still image ready for you: content://camera/image/009.jpeg']	Email it to design@example.com with the message 'See attached image for review'.	Email content://camera/image/009.jpeg to design@example.com with the message 'See attached image for review'.	{'plan': 'send_email', 'arguments': {'to': 'design@example.com', 'body': 'See attached image for review', 'attachments': ['content://camera/image/009.jpeg']}}	ACTION_INSERT_EVENT-480-launch_application-1_NR-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-send_email-1	['ACTION_SHOW_TIMERS', 'ACTION_INSERT_EVENT', 'ACTION_VIEW_EVENT', 'send_email', 'ACTION_EDIT_CONTACT']
['turn 1: Select those last three images -> All set! Here are the last three images you picked: content://camera/image/005.jpeg, content://camera/image/006.jpeg, content://camera/image/007.jpeg']	Send them to project.team@example.com with subject 'Site Photos' and body 'Please check the latest shots.'	Send content://camera/image/005.jpeg, content://camera/image/006.jpeg, content://camera/image/007.jpeg to project.team@example.com with subject 'Site Photos' and body 'Please check the latest shots.'	{'plan': 'send_email', 'arguments': {'to': 'project.team@example.com', 'subject': 'Site Photos', 'body': 'Please check the latest shots.', 'attachments': ['content://camera/image/005.jpeg', 'content://camera/image/006.jpeg', 'content://camera/image/007.jpeg']}}	send_message-1285-ACTION_VIEW_SENT_MESSAGES-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-send_email-1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'send_email', 'ACTION_INSERT_CONTACT', 'open_settings', 'ACTION_VIEW_SENT_EMAILS']
"[""turn 1: Create content://models/ship.obj as a PDF and name it SummaryReport.pdf. -> Done—'SummaryReport.pdf' is available at content://documents/SummaryReport.pdf.""]"	Send it to the team group with the text 'Here's the summary report.'	Send content://documents/SummaryReport.pdf to the team group with the text 'Here's the summary report.'	"{'plan': 'send_message', 'arguments': {'to': 'the team group', 'message': ""Here's the summary report."", 'attachments': ['content://documents/SummaryReport.pdf']}}"	ACTION_OPEN_CONTENT-275-open_settings-1_NR-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-send_message-1	['ACTION_INSERT_EVENT', 'send_message', 'ACTION_VIEW_RECENT_APPS', 'get_contact_info_from_uri', 'INTENT_ACTION_STILL_IMAGE_CAMERA']
['turn 1: Let’s create a new text document for me called JournalEntry.txt. -> JournalEntry.txt is all set at content://documents/JournalEntry.txt.']	Send it to Alice with the note 'Check out today's journal entry.'	Send content://documents/JournalEntry.txt to Alice with the note 'Check out today's journal entry.'	"{'plan': 'send_message', 'arguments': {'to': 'Alice', 'message': ""Check out today's journal entry."", 'attachments': ['content://documents/JournalEntry.txt']}}"	play_music-1369-ACTION_VIEW_PLAYLIST-1-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-send_message-1	['send_message', 'ACTION_EDIT_ALARM', 'ACTION_GET_RINGTONE', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_SENT_MESSAGES']
"[""turn 1: Fill content://contacts/phone/33's address with 123 Main St -> Done! Contact at content://contacts/phone/33 has been updated with the new address: 123 Main St.""]"	Send it a message saying 'Hi, I just added your address at 123 Main St. Let me know if it's correct.'	Send content://contacts/phone/33 a message saying 'Hi, I just added your address at 123 Main St. Let me know if it's correct.'	"{'plan': 'send_message', 'arguments': {'to': 'content://contacts/phone/33', 'message': ""Hi, I just added your address at 123 Main St. Let me know if it's correct.""}}"	ACTION_SHOW_TIMERS-1884-ACTION_SET_TIMER-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1	['ACTION_SHOW_TIMERS', 'ACTION_OPEN_CONTENT', 'send_message', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_SET_TIMER']
['turn 1: Add the email user123@gmail.com to content://contacts/address/14 -> Success! Added email user123@gmail.com to the contact at content://contacts/address/14.']	Send it a message saying 'Your email user123@gmail.com has been added to your contact info.'	Send content://contacts/address/14 a message saying 'Your email user123@gmail.com has been added to your contact info.'	{'plan': 'send_message', 'arguments': {'to': 'content://contacts/address/14', 'message': 'Your email user123@gmail.com has been added to your contact info.'}}	play_video-1420-ACTION_EDIT_VIDEO-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1	['INTENT_ACTION_VIDEO_CAMERA', 'send_message', 'ACTION_NAVIGATE_TO_LOCATION', 'get_contact_info', 'open_settings']
"[""turn 1: Update content://contacts/address/8's address to 99 Elm Street, Metropolis -> Great! Address for content://contacts/address/8 has been updated to 99 Elm Street, Metropolis.""]"	Send it a message saying 'Hey, I've updated your address at 99 Elm Street. Hope that's good.'	Send content://contacts/address/8 a message saying 'Hey, I've updated your address at 99 Elm Street. Hope that's good.'	"{'plan': 'send_message', 'arguments': {'to': 'content://contacts/address/8', 'message': ""Hey, I've updated your address at 99 Elm Street. Hope that's good.""}}"	send_email-1212-ACTION_VIEW_SENT_EMAILS-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1	['send_message', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_CREATE_DOCUMENT', 'play_music', 'ACTION_VIEW_EVENT']
['turn 1: Update content://contacts/people/30 company to Acme Corp -> Done! The company for contact content://contacts/people/30 has been updated to Acme Corp.']	Send them a welcome message saying 'Your company has been changed to Acme Corp. Congrats!'	Send content://contacts/people/30 a welcome message saying 'Your company has been changed to Acme Corp. Congrats!'	{'plan': 'send_message', 'arguments': {'to': 'content://contacts/people/30', 'message': 'Your company has been changed to Acme Corp. Congrats!'}}	ACTION_INSERT_EVENT-479-ACTION_VIEW_EVENT-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1	['INTENT_ACTION_VIDEO_CAMERA', 'web_search', 'send_message', 'ACTION_OPEN_CONTENT', 'play_music']
"[""turn 1: Update content://contacts/people/8's phone number to 555-1234 -> Your contact has been updated with the new number 555-1234. Here’s the updated entry: content://contacts/people/8""]"	Text them 'Your updated phone number 555-1234 has been saved.'	Text content://contacts/people/8 'Your updated phone number 555-1234 has been saved.'	{'plan': 'send_message', 'arguments': {'to': 'content://contacts/people/8', 'message': 'Your updated phone number 555-1234 has been saved.'}}	ACTION_INSERT_EVENT-459-ACTION_NAVIGATE_TO_LOCATION-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1	['ACTION_SET_ALARM', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_SHOW_ALARMS', 'send_message', 'ACTION_VIEW_PLAYLIST']
"[""turn 1: Change content://contacts/address/19's street to 456 Oak Avenue -> Street address changed to 456 Oak Avenue. Updated address record: content://contacts/address/19""]"	Send them a message saying 'Your address has been updated to 456 Oak Avenue.'	Send content://contacts/address/19 a message saying 'Your address has been updated to 456 Oak Avenue.'	{'plan': 'send_message', 'arguments': {'to': 'content://contacts/address/19', 'message': 'Your address has been updated to 456 Oak Avenue.'}}	play_music-1358-web_search-1_NR-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1	['ACTION_SET_TIMER', 'play_video', 'search_location', 'send_message', 'ACTION_VIEW_EVENT']
['turn 1: I would like to see my web visit history from this week. -> Here’s your web visit history from this week: shop.nike.com; amazon.com/appliances; cnn.com/world']	Search that CNN world news page again.	Search cnn.com/world again.	{'plan': 'web_search', 'arguments': {'query': 'cnn.com/world'}}	ACTION_VIDEO_CAPTURE-709-send_email-1-ACTION_VIEW_SENT_EMAILS-1-ACTION_VIEW_WEB_HISTORY-1_NR-web_search-1	['ACTION_VIEW_SENT_MESSAGES', 'ACTION_VIDEO_CAPTURE', 'web_search', 'ACTION_EDIT_CONTACT', 'dial']
