conversation_history	query	rewrited_query	answer	unique_idx	candidates
"['turn 1: Allow me to choose several JPEG or PNG photos from my gallery. -> Here are your selected photos:\n- content://gallery/vacation/beach1.jpg\n- content://gallery/vacation/mountain_view.png', ""turn 2: Create a new PDF named VacationAlbum.pdf with content://gallery/vacation/beach1.jpg and content://gallery/vacation/mountain_view.png -> Your PDF album 'VacationAlbum.pdf' is ready at content://documents/VacationAlbum.pdf, containing the photos you picked.""]"	Edit that to include a title page saying 'My Vacation Album'.	Edit content://documents/VacationAlbum.pdf to include a title page saying 'My Vacation Album'.	"{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/VacationAlbum.pdf', 'content': ""include a title page saying 'My Vacation Album'""}}"	ACTION_OPEN_DOCUMENT-127-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1	['ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_RECENT_APPS', 'ACTION_EDIT_DOCUMENT', 'ACTION_SET_RINGTONE', 'ACTION_VIEW_SENT_MESSAGES']
['turn 1: Let me open a plain text note. -> Please pick a plain text file to open.', 'turn 2: Please create a new plain text file to open named Notes.txt. -> A new plain text note “Notes.txt” has been created. You can view it at content://documents/Notes.txt.']	Add my to-do list to it	Add my to-do list to content://documents/Notes.txt	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/Notes.txt', 'content': 'my to-do list'}}	ACTION_OPEN_DOCUMENT-133-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1	['ACTION_EDIT_DOCUMENT', 'ACTION_GET_RINGTONE', 'ACTION_VIEW_PLAYLIST', 'ACTION_NAVIGATE_TO_LOCATION', 'play_video']
"[""turn 1: Open the phone's still image camera so I can take a quick photo. -> Sure thing—still image camera is now open and ready for your photo."", 'turn 2: Pick the most recent photo from my camera roll -> Here’s your latest photo: content://temp/IMG_20240605_153210.jpg']"	Trim that video to start at 5 seconds and end at 20 seconds	Trim content://temp/IMG_20240605_153210.jpg video to start at 5 seconds and end at 20 seconds	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'content://temp/IMG_20240605_153210.jpg', 'edit_options': {'start_time': 5000, 'end_time': 20000}}}	INTENT_ACTION_STILL_IMAGE_CAMERA-809-ACTION_GET_CONTENT-1-ACTION_EDIT_VIDEO-1	['dial', 'get_contact_info_from_uri', 'ACTION_EDIT_VIDEO', 'ACTION_SET_RINGTONE', 'ACTION_SET_TIMER']
['turn 1: Play the playlist file at content://music/playlist.m3u with MIME audio/x-mpegurl. -> Loading your playlist (content://music/playlist.m3u) now. Enjoy the tunes!', 'turn 2: I wish to record a still snapshot; please fire up the camera. -> Photo capture interface is now open.']	Pick the snapshot just taken	Pick the photo snapshot just taken	{'plan': 'ACTION_GET_CONTENT', 'arguments': {'mime_type': 'image/*'}}	ACTION_OPEN_CONTENT-272-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1	['ACTION_OPEN_DOCUMENT', 'ACTION_GET_CONTENT', 'play_video', 'ACTION_CREATE_DOCUMENT', 'play_music']
['turn 1: Show available alarm sounds for me to select. -> Alarm sound chosen: content://media/ringtone/tropical_dawn.mp3', 'turn 2: Use content://media/ringtone/tropical_dawn.mp3 for my alarm. -> All set—your alarm will now play content://media/ringtone/tropical_dawn.mp3.']	Show me other options besides that tone.	Show me other options besides content://media/ringtone/tropical_dawn.mp3.	{'plan': 'ACTION_GET_RINGTONE', 'arguments': {}}	ACTION_GET_RINGTONE-303-ACTION_SET_RINGTONE-1-ACTION_GET_RINGTONE-1	['ACTION_VIEW_EVENT', 'get_contact_info', 'ACTION_GET_RINGTONE', 'ACTION_VIEW_RECENT_APPS', 'ACTION_EDIT_VIDEO']
"[""turn 1: View 'Acoustic Morning'. -> Opening 'Acoustic Morning': Banana Pancakes; Better Together; Heartbeats."", 'turn 2: Kick off the still photo app on my device. -> Still photo mode opened successfully.']"	Go ahead and capture that shot.	Go ahead and capture a still photo.	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	ACTION_VIEW_PLAYLIST-2146-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_IMAGE_CAPTURE-1	['ACTION_VIEW_CONTACT', 'ACTION_EDIT_DOCUMENT', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_SHOW_TIMERS', 'ACTION_IMAGE_CAPTURE']
['turn 1: Could you forward me the annual report at file:///annual_report.pdf to cfo@enterprise.com? -> Annual report forwarded to cfo@enterprise.com successfully.', 'turn 2: Begin the photo capturing tool on my device as a still image camera. -> Still image camera is open—ready for your picture.']	Capture it and save it as holiday_pic.jpg in my Pictures folder	Capture the picture and save it as holiday_pic.jpg in my Pictures folder	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	send_email-1220-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_IMAGE_CAPTURE-1	['send_message', 'ACTION_VIEW_RECENT_APPS', 'ACTION_IMAGE_CAPTURE', 'search_location', 'ACTION_EDIT_ALARM']
['turn 1: Connect to extension 4200. -> Dialing extension 4200...', 'turn 2: Let me check my call log. -> Recent call log: Lucas +1-646-555-0246 (Missed) - Today 7:50 AM; Zoe +1-312-555-0182 (Incoming) - Yesterday 6:10 PM; Ethan +1-415-555-0371 (Outgoing) - 2 days ago 12:15 PM']	Save that number as Lucas Reynolds	Save +1-646-555-0246 as Lucas Reynolds	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Lucas Reynolds', 'phone': '+1-646-555-0246'}}}	dial-952-ACTION_VIEW_CALL_LOG-1-ACTION_INSERT_CONTACT-1	['ACTION_VIEW_SENT_EMAILS', 'ACTION_INSERT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIDEO_CAPTURE', 'ACTION_VIEW_EVENT']
['turn 1: I want to reach my voicemail; dial *86. -> Dialing *86 to access your voicemail...', 'turn 2: What calls have I made today? -> Latest calls: *86 (Outgoing) - Today 5:00 PM; 987-654-3210 (Incoming) - Yesterday 6:20 PM; 555-1234 (Missed) - Sep 12, 8:15 AM']	Save that incoming number as a new contact Brian	Save 987-654-3210 as a new contact Brian	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Brian', 'phone': '987-654-3210'}}}	dial-931-ACTION_VIEW_CALL_LOG-1-ACTION_INSERT_CONTACT-1	['ACTION_INSERT_CONTACT', 'ACTION_SET_RINGTONE', 'ACTION_CREATE_DOCUMENT', 'launch_application', 'ACTION_VIEW_CALL_LOG']
"['turn 1: Call the front desk at +81-3-1234-5678. -> Calling +81-3-1234-5678 now...', ""turn 2: Give me the list of my recent calls. -> Here's your recent call log: +81-3-1234-5678 (Outgoing) - Today 3:50 PM; 020-7946-0958 (Incoming) - Today 10:10 AM; +1-800-123-4567 (Missed) - Yesterday 7:00 PM""]"	Save that missed number as a new contact Support	Save +1-800-123-4567 as a new contact Support	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Support', 'phone': '+1-800-123-4567'}}}	dial-933-ACTION_VIEW_CALL_LOG-1-ACTION_INSERT_CONTACT-1	['ACTION_INSERT_EVENT', 'ACTION_INSERT_CONTACT', 'ACTION_GET_RINGTONE', 'ACTION_SET_RINGTONE', 'get_contact_info']
"['turn 1: Dial 999 for emergencies in the UK. -> Initiating emergency call to 999...', ""turn 2: Can I see my recent call history? -> Here's your call history: Ava +1-415-555-6677 (Outgoing) - Today 11:20 AM; Noah +1-202-555-0104 (Missed) - Yesterday 2:45 PM; Isabella +1-312-555-0923 (Incoming) - Last Friday 3:00 PM""]"	Add her number to my contacts as Isabella.	Add Isabella +1-312-555-0923's number to my contacts as Isabella.	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Isabella', 'phone': '+1-312-555-0923'}}}	dial-951-ACTION_VIEW_CALL_LOG-1-ACTION_INSERT_CONTACT-1	['ACTION_INSERT_CONTACT', 'dial', 'ACTION_GET_CONTENT', 'ACTION_SET_RINGTONE', 'ACTION_EDIT_VIDEO']
['turn 1: Open the memory card options, please. -> Memory card settings opened — you can now manage your external storage.', 'turn 2: Find the nearest gas station -> Sure thing. The nearest gas station is Shell, 842 Elm Street, Springfield.']	Create an event called Fill Up at it tomorrow at 3 PM and ending at 3:30 PM with description Fill the tank	Create an event called Fill Up at Shell, 842 Elm Street, Springfield tomorrow at 3 PM and ending at 3:30 PM with description Fill the tank	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Fill Up at Shell', 'DESCRIPTION': 'Fill the tank', 'EVENT_LOCATION': '842 Elm Street, Springfield', 'BEGIN_TIME': 1700140400000, 'END_TIME': 1700142200000}}	open_settings-1088-search_location-1-ACTION_INSERT_EVENT-1	['ACTION_VIEW_WEB_HISTORY', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_VIDEO', 'search_location', 'ACTION_VIDEO_CAPTURE']
['turn 1: Fetch multiple Excel spreadsheets from your local storage. -> Fetched the requested spreadsheets:\n• content://spreadsheets/budget_report.xls\n• content://spreadsheets/sales_data.xls', 'turn 2: I am looking for address information for the contact at /contacts/tina_address. -> Tina’s address is 123 Maple Street, Springfield, IL 62704.']	Get directions there.	Get directions to 123 Maple Street, Springfield, IL 62704.	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': '123 Maple Street, Springfield, IL 62704'}}	ACTION_GET_CONTENT-173-get_contact_info-1_NR-ACTION_NAVIGATE_TO_LOCATION-1	['get_contact_info', 'ACTION_SET_TIMER', 'ACTION_NAVIGATE_TO_LOCATION', 'open_settings', 'play_video']
"['turn 1: Could you tweak contact content://contacts/people/matthew by changing the phone number to (123) 456-7890? -> Sure thing—Matthew’s phone number is now (123)\xa0456‑7890. You’ll find his updated contact at content://contacts/people/matthew', ""turn 2: Schedule an event 'Workshop on AI' that dives deep into AI trends and technologies. It should be held at Innovation Hub, from 1703800000000 to 1703807200000. -> Your 'Workshop on AI' is set at Innovation Hub from 1703800000000 to 1703807200000. Event ID: content://calendar/event/9""]"	Navigate there	Navigate to Innovation Hub	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Innovation Hub'}}	ACTION_EDIT_CONTACT-108-ACTION_INSERT_EVENT-1_NR-ACTION_NAVIGATE_TO_LOCATION-1	['ACTION_GET_CONTENT', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_EDIT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_EVENT']
"[""turn 1: I'd like to view entry number 18 in my schedule. -> Lunch with Sarah: June 12, 2024 at 12:30 PM, Bistro Cafe."", 'turn 2: Get me the address details for the contact at /contacts/xavier. -> Xavier’s address: 456 Oak Road, Seattle, WA 98101.']"	Guide me there.	Guide me to 456 Oak Road, Seattle, WA 98101.	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': '456 Oak Road, Seattle, WA 98101'}}	ACTION_VIEW_EVENT-1801-get_contact_info-1_NR-ACTION_NAVIGATE_TO_LOCATION-1	['get_contact_info', 'ACTION_VIEW_CONTACT', 'ACTION_SHOW_TIMERS', 'ACTION_EDIT_ALARM', 'ACTION_NAVIGATE_TO_LOCATION']
['turn 1: Show me a list of contact cards so I can pick one. -> Sure—here’s your contact list. Tap the card you’d like to select.', 'turn 2: Can you retrieve complete contact info for /directory/carmen? -> Sure thing! Here’s Carmen’s full contact card:\nName: Carmen Rodriguez\nPhone: +1-415-555-0199\nEmail: carmen.rodriguez@workmail.com\nAddress: 234 Elm Street, San Francisco, CA 94102']	Navigate there.	Navigate to 234 Elm Street, San Francisco, CA 94102.	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': '234 Elm Street, San Francisco, CA 94102'}}	ACTION_PICK-531-get_contact_info-1_NR-ACTION_NAVIGATE_TO_LOCATION-1	['dial', 'ACTION_SHOW_TIMERS', 'ACTION_NAVIGATE_TO_LOCATION', 'send_email', 'INTENT_ACTION_VIDEO_CAMERA']
"[""turn 1: Use the camera app to take photo. -> All set! Your photo's been snapped and saved at content://photos/DCIM/Camera/IMG_5678.jpg."", 'turn 2: Find me an external document that is a plain text file. -> Plain text file brought in: content://external_storage/documents/notes.txt']"	Open it for me	Open content://external_storage/documents/notes.txt for me	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://external_storage/documents/notes.txt'}}	ACTION_IMAGE_CAPTURE-367-ACTION_OPEN_DOCUMENT-1_NR-ACTION_OPEN_CONTENT-1	['ACTION_SET_RINGTONE', 'web_search', 'play_music', 'ACTION_OPEN_CONTENT', 'ACTION_GET_RINGTONE']
"['turn 1: I want to pull the recent app list. -> Your recent apps list: Camera; Chrome; WhatsApp; Settings.', ""turn 2: Help me open a document that's in PDF format for long-term editing. -> Here’s the PDF you asked for: content://documents/report_final.pdf""]"	Open that PDF	Open content://documents/report_final.pdf PDF	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/report_final.pdf'}}	ACTION_VIEW_RECENT_APPS-2212-ACTION_OPEN_DOCUMENT-1_NR-ACTION_OPEN_CONTENT-1	['ACTION_EDIT_VIDEO', 'ACTION_SHOW_TIMERS', 'ACTION_OPEN_CONTENT', 'get_contact_info_from_uri', 'ACTION_GET_RINGTONE']
"['turn 1: I’d like to set my ringtone to the download named coolbeat.m4a (URI: content://storage/emulated/0/Download/coolbeat.m4a). -> Done! Your ringtone is now coolbeat.m4a from your Downloads folder.', ""turn 2: Actually, I'd like a different ringtone instead of content://storage/emulated/0/Download/coolbeat.m4a. -> Sure—opening the ringtone selection so you can choose a different sound.""]"	Show it to me	Show content://storage/emulated/0/Download/coolbeat.m4a to me	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://storage/emulated/0/Download/coolbeat.m4a'}}	ACTION_SET_RINGTONE-1573-ACTION_GET_RINGTONE-1-ACTION_OPEN_CONTENT-1	['get_contact_info_from_uri', 'ACTION_PICK', 'ACTION_SET_ALARM', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_EVENT']
['turn 1: Please set content://media/internal/audio/media/30 as the incoming ringtone -> Incoming ringtone set successfully.', 'turn 2: I want to change content://media/internal/audio/media/30 again. -> No problem! Let’s browse your ringtone list—please pick your next ringtone.']	Use it to set an alarm for 6:00 AM on Sunday with skip UI	Use content://media/internal/audio/media/30 to set an alarm for 6:00 AM on Sunday with skip UI	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 6, 'EXTRA_MINUTES': 0, 'EXTRA_DAYS': ['Sunday'], 'EXTRA_RINGTONE': 'content://media/internal/audio/media/30', 'EXTRA_SKIP_UI': True}}	ACTION_SET_RINGTONE-1592-ACTION_GET_RINGTONE-1-ACTION_SET_ALARM-1	['ACTION_SHOW_ALARMS', 'ACTION_SET_ALARM', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_OPEN_CONTENT']
['turn 1: Please set content://media/internal/audio/media/30 as the incoming ringtone -> Incoming ringtone set successfully.', 'turn 2: I want to change content://media/internal/audio/media/30 again. -> No problem! Let’s browse your ringtone list—please pick your next ringtone.']	Let's set that one as my ringtone	Let's set content://media/internal/audio/media/30 as my ringtone	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/internal/audio/media/30'}}	ACTION_SET_RINGTONE-1592-ACTION_GET_RINGTONE-1-ACTION_SET_RINGTONE-1	['ACTION_INSERT_CONTACT', 'play_music', 'dial', 'ACTION_SET_RINGTONE', 'web_search']
"['turn 1: Change my phone\'s ringtone to the aac in downloads: content://storage/emulated/0/Download/ringtone_v2.aac -> Got it! Your default ringtone is now set to ""ringtone_v2.aac.""', ""turn 2: I don't really like content://storage/emulated/0/Download/ringtone_v2.aac, can I browse more ringtones? -> On it! Opening the ringtone list—browse through and tap any you’d like.""]"	Sounds good, set it as my ringtone	Sounds good, set the aac in downloads: content://storage/emulated/0/Download/ringtone_v2.aac as my ringtone	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://storage/emulated/0/Download/ringtone_v2.aac'}}	ACTION_SET_RINGTONE-1606-ACTION_GET_RINGTONE-1-ACTION_SET_RINGTONE-1	['ACTION_OPEN_DOCUMENT', 'ACTION_SET_RINGTONE', 'ACTION_SHOW_TIMERS', 'ACTION_INSERT_EVENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA']
['turn 1: Kick off a 0 hours 0 minutes 45 seconds timer. -> 45-second timer started.', 'turn 2: Bring the 45-second timer up. -> Active timers: [45 seconds - Timer].']	Start a 1-minute breathing timer immediately after it	Start a 1-minute breathing timer immediately after the 45-second timer	{'plan': 'ACTION_SET_TIMER', 'arguments': {'duration': '1 minute', 'EXTRA_MESSAGE': 'breathing'}}	ACTION_SET_TIMER-627-ACTION_SHOW_TIMERS-1-ACTION_SET_TIMER-1	['ACTION_SET_TIMER', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_VIEW_PLAYLIST', 'ACTION_VIEW_WEB_HISTORY', 'INTENT_ACTION_STILL_IMAGE_CAMERA']
['turn 1: Could you arrange a 2.75-hour timer? -> Timer set for 2 hours and 45 minutes.', 'turn 2: Can you list the timer set for 2 hours and 45 minutes? -> Running timers: [2 hours and 45 minutes].']	Set a 15-minute meditation timer like that and don't skip the confirmation UI	Set a 15-minute meditation timer like the timer set for 2 hours and 45 minutes and don't skip the confirmation UI	{'plan': 'ACTION_SET_TIMER', 'arguments': {'duration': '15 minutes', 'EXTRA_MESSAGE': 'meditation', 'EXTRA_SKIP_UI': False}}	ACTION_SET_TIMER-651-ACTION_SHOW_TIMERS-1-ACTION_SET_TIMER-1	['ACTION_SET_TIMER', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_VIDEO', 'ACTION_OPEN_CONTENT', 'launch_application']
"['turn 1: Create a daily alarm at 05:05 with vibration. -> Alarm scheduled (ID: alarm_no2) for 5:05\xa0AM every day with vibration enabled.', ""turn 2: Actually, set 'alarm_no2' to 5:30 AM and turn off vibration. -> All set—alarm_no2 has been changed to 5:30 AM, vibration turned off.""]"	Display the full alarm list now that it's updated.	Display the full alarm list now that alarm_no2 has been changed to 5:30 AM, vibration turned off.	{'plan': 'ACTION_SHOW_ALARMS', 'arguments': {}}	ACTION_SET_ALARM-595-ACTION_EDIT_ALARM-1-ACTION_SHOW_ALARMS-1	['ACTION_VIEW_CALL_LOG', 'ACTION_VIDEO_CAPTURE', 'play_music', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_SHOW_ALARMS']
