conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates	plan
["turn 1: Dial the Paris office at +33 (1) 44 20 77 00. -> Dialing the Paris office at +33 (1) 44 20 77 00.", "turn 2: Show me details for event 78. -> Event 78: Marketing Sync at 4:00 PM on August 22. Location: Online.", "turn 3: Retrieve the alternate phone number from content://contacts/555/phone_alt. -> Here’s the alternate phone number: +1-555-765-4321.", "turn 4: Let me choose a phone number from my contacts. -> Sure—here are your contacts’ phone numbers."]	Please save this number as 'Paris Office' in my contacts.	Save +33 (1) 44 20 77 00 to your contacts under the name 'Paris Office'.	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Paris Office', 'phone': '+33 (1) 44 20 77 00'}}}	dial-940-web_search-1_NR-ACTION_VIEW_WEB_HISTORY-1-web_search-1-ACTION_INSERT_CONTACT-1	1	['ACTION_VIEW_SENT_EMAILS', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_INSERT_CONTACT', 'ACTION_SET_ALARM']	ACTION_INSERT_CONTACT
["turn 1: Show me the contact details for content://contacts/people/42. -> Here’s the info for content://contacts/people/42: Name: Michael Lee; Phone: (555) 987-6543; Email: [michael.lee42@example.com]; Address: 321 Oak St, Centerville, OH 45459.", "turn 2: Update the conclusion of the document at content://documents/doc/350 to 'In conclusion, we achieved our goals.' -> Done—I've updated the conclusion in content://documents/doc/350 to: 'In conclusion, we achieved our goals.'", "turn 3: Display the 'Reggae Rhythms' playlist. -> Here’s your 'Reggae Rhythms' playlist: Three Little Birds; No Woman, No Cry; Is This Love.", "turn 4: Show all the messages I’ve sent so far. -> Your Sent messages folder is empty."]	Please start navigation to that address.	Navigate to 321 Oak St, Centerville, OH 45459.	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': '321 Oak St, Centerville, OH 45459'}}	get_contact_info-970-dial-1-ACTION_VIEW_CALL_LOG-1-ACTION_INSERT_CONTACT-1-ACTION_NAVIGATE_TO_LOCATION-1	1	['launch_application', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_OPEN_CONTENT', 'get_contact_info', 'web_search']	ACTION_NAVIGATE_TO_LOCATION
["turn 1: Show me a complete summary of contact content://contacts/people/1618. -> Here are the details for contact content://contacts/people/1618: ID: 1618; Name: Robert Brown; Phone: (555) 1618; Email: [rbrown1618@example.org]; Address: 1618 Elm St, Gotham, NY 10018.", "turn 2: Take a photo of the whiteboard and save it to content://work/whiteboard/board.jpg. -> Photo of the whiteboard captured and saved to content://work/whiteboard/board.jpg.", "turn 3: Set an alarm for 4:16 PM without vibration. -> Your alarm (ID: alarm_no6) is set for 4:16 PM with vibration disabled.", "turn 4: Open TikTok so I can watch some short clips. -> TikTok is now open. Enjoy your clips!"]	Please start navigation to that address.	Navigate to 1618 Elm St, Gotham, NY 10018.	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': '1618 Elm St, Gotham, NY 10018'}}	get_contact_info-974-ACTION_VIEW_CONTACT-1-dial-1-ACTION_INSERT_CONTACT-1-ACTION_NAVIGATE_TO_LOCATION-1	1	['web_search', 'ACTION_EDIT_DOCUMENT', 'ACTION_NAVIGATE_TO_LOCATION', 'INTENT_ACTION_VIDEO_CAMERA', 'get_contact_info']	ACTION_NAVIGATE_TO_LOCATION
["turn 1: Show the full record for content://profiles/contacts/104. -> Here are the full details for content://profiles/contacts/104: Name: Michael Lee; Phone: (202) 555-0144; Email: [dwilson@profiles.com]; Address: 75 Sunset Blvd, Los Angeles, CA.", "turn 2: Start recording a movie. -> Recording started. The camera app is now on standby.", "turn 3: Let me open a plain text note. -> Sure—please choose the plain text file you’d like to open.", "turn 4: Show the address for content://contacts/people/9988. -> The address for content://contacts/people/9988 is 123 Main St, Springfield, IL 62704."]	Can you navigate me to Michael Lee's location?	Navigate to 75 Sunset Blvd, Los Angeles, CA	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': '75 Sunset Blvd, Los Angeles, CA'}}	get_contact_info-1007-ACTION_VIEW_CONTACT-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-ACTION_NAVIGATE_TO_LOCATION-1	1	['ACTION_VIEW_CALL_LOG', 'ACTION_EDIT_CONTACT', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_RECENT_APPS', 'ACTION_OPEN_DOCUMENT']	ACTION_NAVIGATE_TO_LOCATION
["turn 1: Open an HTML file for editing. -> Opening the HTML file: content://documents/webpage/index.html.", "turn 2: Take a photo of the barcode and save it to content://codes/barcode/bar_001.png. -> Photo of the barcode taken and saved to content://codes/barcode/bar_001.png.", "turn 3: List my recent call history. -> Here’s your recent call history: Beth +1-213-555-0133 (outgoing) at 7:15 AM today; Carl +1-646-555-0155 (missed) at 10:55 PM yesterday; Dana +44-20-7946-0500 (incoming) at 11:35 AM today.", "turn 4: Open the video recording tool. -> Video recording tool opened successfully."]	Please open that HTML file.	Open the HTML file at content://documents/webpage/index.html.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/webpage/index.html', 'mime_type': 'text/html'}}	ACTION_OPEN_DOCUMENT-122-ACTION_OPEN_CONTENT-1-send_email-1-ACTION_VIEW_SENT_EMAILS-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_RECENT_APPS', 'dial', 'play_music', 'ACTION_OPEN_CONTENT', 'get_contact_info']	ACTION_OPEN_CONTENT
["turn 1: Upload any file for a quick backup. -> Your file has been backed up to content://files/backup_archive.zip.", "turn 2: Trim old_footage.mp4 to the first 10 seconds. -> Trimming old_footage.mp4 to the first 10 seconds. Editor is ready.", "turn 3: Play the Spotify track spotify\:track:4uLU6hMCjMI75M1A2tKUQC. -> Now playing: spotify\:track:4uLU6hMCjMI75M1A2tKUQC.", "turn 4: Select multiple image files in any format. -> Please choose the images you’d like to include."]	Open that backup file	Open the file at content://files/backup_archive.zip	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://files/backup_archive.zip'}}	ACTION_GET_CONTENT-170-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-ACTION_PICK-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_VIDEO_CAPTURE', 'search_location', 'ACTION_VIEW_RECENT_APPS', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_OPEN_CONTENT']	ACTION_OPEN_CONTENT
["turn 1: Take a photo and save it automatically. -> Photo captured and saved at content://media/internal/photos/IMG_20230615_100200.jpg.", "turn 2: Create an event titled 'AI Trends Webinar' on August 15, 2024, from 8:00 AM to 9:00 AM online, with description 'Join online webinar on latest AI developments'. -> 'AI Trends Webinar' has been added to your calendar for August 15, 2024, 8:00 AM–9:00 AM (online): content://calendar/event/5", "turn 3: Mute and trim content://podcasts/episode10.mp4 from 2 to 3 minutes. -> Muted and extracted the 2–3 minute segment of episode10.mp4. Editor is ready.", "turn 4: Show my sent mail items. -> Here are your recent sent messages: [claire.liu@example.com] – 'Event Invitation'; [tom.hanks@example.com] – 'Feedback Request'; [sara.connor@example.com] – 'Project Timeline'."]	Open that photo for me	Open content://media/internal/photos/IMG_20230615_100200.jpg for me	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://media/internal/photos/IMG_20230615_100200.jpg'}}	ACTION_IMAGE_CAPTURE-370-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-search_location-1-ACTION_OPEN_CONTENT-1	1	['ACTION_SET_ALARM', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_DOCUMENT', 'ACTION_SET_TIMER', 'ACTION_GET_RINGTONE']	ACTION_OPEN_CONTENT
["turn 1: Update the phone number for contact content://contacts/people/matthew to (123) 456-7890. -> Matthew’s phone number has been updated to (123) 456-7890. You can view the contact at content://contacts/people/matthew.", "turn 2: Save Gabrielle Union’s contact with email [gabrielle@universal.com] and company Universal Pictures. -> Gabrielle Union’s contact has been saved with email [gabrielle@universal.com] and company Universal Pictures at content://contacts/people/gabrielle_union.", "turn 3: Open the alarm ringtone browser. -> Opening the alarm ringtone browser now.", "turn 4: Trim content://music/video.mp4 to its first 2 minutes. -> Trimming the video at content://music/video.mp4 to the first 2 minutes. Editor is ready."]	Dial that number	Dial (123) 456-7890.	{'plan': 'dial', 'arguments': {'phone_number': '(123) 456-7890'}}	ACTION_EDIT_CONTACT-108-ACTION_INSERT_EVENT-1_NR-search_location-1-ACTION_INSERT_EVENT-1-dial-2	1	['ACTION_VIEW_CALL_LOG', 'ACTION_OPEN_CONTENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'dial', 'ACTION_OPEN_DOCUMENT']	dial
["turn 1: Change John’s number to 555-1234, Michael’s to 222-3344 with address 42 Wallaby Way, Sydney, Sora’s to 010-2222-3333 with address 101 Cherry Blossom Road, Seoul, and Heecheol’s to 010-9999-8888 with address 88 Han River Blvd, Seoul. -> All contacts updated: John, Michael, 42 Wallaby Way, Sydney, Sora, 101 Cherry Blossom Road, Seoul, Heecheol, 88 Han River Blvd, Seoul.", "turn 2: Show me the details for contact content://contacts/people/1033. -> Here are the details for content://contacts/people/1033, opening now.", "turn 3: Dial +1 (202) 555-0187 for the DC office. -> Connecting to +1 (202) 555-0187 now.", "turn 4: Open the alarm melody picker so I can choose a new ringtone. -> Ringtone picker is open—please select your alarm melody."]	Call the third person I updated.	Call 010-2222-3333	{'plan': 'dial', 'arguments': {'phone_number': '010-2222-3333'}}	ACTION_EDIT_CONTACT-56-dial-1-ACTION_INSERT_CONTACT-1-dial-1-dial-1	1	['dial', 'ACTION_OPEN_DOCUMENT', 'send_email', 'get_contact_info', 'ACTION_SHOW_ALARMS']	dial
["turn 1: Update Natalie Reed’s contact at content://contacts/people/natalie_r with phone 555-0001 and address 123 Oak Lane. -> Natalie Reed’s contact has been updated with phone number 555-0001 and address 123 Oak Lane. (content://contacts/people/natalie_r)", "turn 2: Open an AAC audio file. -> Sure—please select the AAC audio file you’d like to open.", "turn 3: Send an email to [editor@publishers.com] with attachments file:///chapter1.docx and file:///chapter2.docx, subject 'Draft Chapters', and body 'Let me know your thoughts.'. -> Email sent to [editor@publishers.com] with subject 'Draft Chapters' and attachments chapter1.docx, chapter2.docx.", "turn 4: Schedule a one-hour brainstorming session for next Tuesday, April 16, 2024 at 2:00 PM in Zoom Room A titled 'Project Alpha Brainstorm' with description 'Initial idea generation for Project Alpha'. -> 'Project Alpha Brainstorm' has been scheduled for April 16, 2024 at 2:00 PM in Zoom Room A: content://calendar/event/1"]	Please place a call to that number.	Place a call to 555-0001.	{'plan': 'dial', 'arguments': {'phone_number': '555-0001'}}	ACTION_EDIT_CONTACT-89-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-dial-1	1	['ACTION_EDIT_VIDEO', 'dial', 'ACTION_SHOW_TIMERS', 'ACTION_VIEW_RECENT_APPS', 'web_search']	dial
["turn 1: Please select an first Excel file to view. -> Sure—picked an dashboard.xls and I'll display its data.", "turn 2: Retrieve the phone number for contact content://com.example.contacts/270. -> Here’s the phone number for contact 270: 800-123-4567.", "turn 3: Create a PDF invoice named Invoice_March2024.pdf. -> 'Invoice_March2024.pdf' has been created at content://documents/Invoice_March2024.pdf.", "turn 4: Open the text document at content://docs/manual.txt. -> Opening content://docs/manual.txt now."]	Please email that dashboard to [erin@example.com].	Email the dashboard.xls to [erin@example.com].	{'plan': 'send_email', 'arguments': {'to': 'erin@example.com', 'attachments': ['dashboard.xls']}}	ACTION_GET_CONTENT-203-ACTION_CREATE_DOCUMENT-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-send_email-1	1	['send_email', 'web_search', 'ACTION_VIEW_WEB_HISTORY', 'play_video', 'ACTION_SHOW_TIMERS']	send_email
["turn 1: Fetch multiple Excel spreadsheets from local storage. -> Here are the requested spreadsheets: content://spreadsheets/budget_report.xls; content://spreadsheets/sales_data.xls.", "turn 2: Generate a GIF named 'animation.gif'. -> 'animation.gif' has been created at content://documents/animation.gif.", "turn 3: Open file picker to select media files for preview. -> File picker opened—choose the files you'd like to preview.", "turn 4: Launch Instagram; I want to upload a new photo. -> Instagram is now open. You can upload your photo."]	Please send the spreadsheets to [finance@company.com] with the message 'Attached are the requested reports'.	Send content://spreadsheets/budget_report.xls and content://spreadsheets/sales_data.xls to [finance@company.com] with the message 'Attached are the requested reports'.	{'plan': 'send_email', 'arguments': {'to': 'finance@company.com', 'body': 'Attached are the requested reports', 'attachments': ['content://spreadsheets/budget_report.xls', 'content://spreadsheets/sales_data.xls']}}	ACTION_GET_CONTENT-173-get_contact_info-1_NR-search_location-1-ACTION_INSERT_EVENT-1-send_email-1	1	['send_message', 'get_contact_info_from_uri', 'ACTION_SET_ALARM', 'send_email', 'ACTION_VIEW_RECENT_APPS']	send_email
["turn 1: Save a draft web page as DraftPage.html. -> Your draft web page has been saved as DraftPage.html at content://documents/DraftPage.html.", "turn 2: Open the BMP image at content://images/photo.bmp. -> Displaying the BMP image stored at content://images/photo.bmp.", "turn 3: Launch Twitter. -> Twitter app opened. Catch up on your feed now.", "turn 4: Send an email to [support@cloudservice.com] asking why my VM instance keeps rebooting. -> Email sent to [support@cloudservice.com] asking why your VM instance keeps rebooting."]	Send that draft web page to [editor@blog.com] with subject 'DraftPage for Review'	Send content://documents/DraftPage.html to [editor@blog.com] with subject 'DraftPage for Review'	{'plan': 'send_email', 'arguments': {'to': 'editor@blog.com', 'subject': 'DraftPage for Review', 'attachments': ['content://documents/DraftPage.html']}}	ACTION_CREATE_DOCUMENT-12-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_SHOW_TIMERS-1_NR-ACTION_SET_TIMER-1-send_email-1	1	['ACTION_EDIT_VIDEO', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'dial', 'ACTION_INSERT_CONTACT', 'send_email']	send_email
["turn 1: Open an HTML file for editing. -> Opening content://documents/webpage/index.html for editing.", "turn 2: Create a contact for John Doe with email [john.doe@domain.com]. -> John Doe’s contact has been created: content://contacts/people/john_doe.", "turn 3: Show my browsing history. -> Here’s your browsing history: Google Maps (directions to Central Park); Yelp (Joe’s Pizza); TripAdvisor (The Plaza); Booking.com (NYC hotels); Airbnb (Cozy loft).", "turn 4: Record a short video clip of my surroundings. -> Recording complete—your clip is saved at content://videos/surroundings_002.mp4."]	Send that HTML file to Tom with the message 'Please review this webpage.'	Send content://documents/webpage/index.html to Tom with the message 'Please review this webpage.'	{'plan': 'send_message', 'arguments': {'to': 'Tom', 'message': 'Please review this webpage.', 'attachments': ['content://documents/webpage/index.html']}}	ACTION_OPEN_DOCUMENT-122-ACTION_OPEN_CONTENT-1-send_email-1-ACTION_VIEW_SENT_EMAILS-1-send_message-1	1	['web_search', 'send_message', 'ACTION_VIEW_CONTACT', 'ACTION_SET_RINGTONE', 'ACTION_GET_RINGTONE']	send_message
