conversation_history	query	rewrited_query	candidates	generation	gt	plan	arguments	all	file
['turn 1: Could you show me the device’s missed and dialed calls? -> Here’s your call log: Jack at +1-718-555-0145 (Outgoing) – Today at 1:00 PM; Karen at +49-30-1234-5678 (Incoming) – Yesterday at 9:45 AM; Leo at +1-305-555-0199 (Missed) – Today at 7:20 AM.']	"Could you save that number as ""Jack"" in my contacts?"	Add phone number +1-718-555-0145 to contacts under the name Jack.	['ACTION_INSERT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_EVENT', 'search_location']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Jack', 'phone': '+1-718-555-0145'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Jack', 'phone': '+1-718-555-0145'}}}	pass	pass	pass	turn2.tsv
['turn 1: Could you list my recent incoming and outgoing calls? -> Here are your recent call entries: Mia at +1-213-555-0156 (Missed) at 5:35 PM today; Noah at +1-415-555-0001 (Outgoing) at 2:10 PM yesterday; Olivia at +44-20-7946-0999 (Incoming) at 8:00 AM today.']	Could you add second history as a new contact under the name Mia?	Add +44-20-7946-0999 as a new contact under the name Mia.	['ACTION_SHOW_ALARMS', 'ACTION_CREATE_DOCUMENT', 'get_contact_info', 'ACTION_OPEN_DOCUMENT', 'ACTION_INSERT_CONTACT']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Mia', 'phone': '+1-213-555-0156'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Mia', 'phone': '+44-20-7946-0999'}}}	pass	fail	fail	turn2.tsv
['turn 1: Could you show me the details of my event #12 scheduled for 9:00 AM tomorrow? -> Event 12: Client Presentation at 9:00 AM tomorrow in Conference Room B.']	Could you guide me to that conference room?	Guide me to Conference Room B.	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_ALARM', 'open_settings', 'ACTION_NAVIGATE_TO_LOCATION']	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Conference Room B'}}	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Conference Room B'}}	pass	pass	pass	turn2.tsv
['turn 1: Where is the Great Wall of China located? -> The Great Wall is located near Huairou District, China, at approximately 40.4319° N, 116.5704° E.']	Could you guide me to that location?	Guide me to Huairou District: 40.4319° N, 116.5704° E, China.	['ACTION_OPEN_CONTENT', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_RECENT_APPS', 'get_contact_info_from_uri']	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Great Wall of China, Huairou District, China'}}	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Huairou District: 40.4319° N, 116.5704° E, China'}}	pass	fail	fail	turn2.tsv
['turn 1: Could you show me the appointment with ID 67? -> Event 67: Performance Review at 1:00 PM on May 28 in the Manager’s Office.']	Could you get directions to that office?	Get directions to the Manager’s Office.	['ACTION_INSERT_EVENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIDEO_CAPTURE', 'ACTION_GET_RINGTONE']	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Manager’s Office'}}	{'plan': 'ACTION_NAVIGATE_TO_LOCATION', 'arguments': {'location': 'Manager’s Office'}}	pass	pass	pass	turn2.tsv
['turn 1: Please record my vlog and save it to content://videos/vlog1.mp4. -> Your vlog has been recorded and saved at content://videos/vlog1.mp4.']	Could you play back the vlog I just recorded?	Play content://videos/vlog1.mp4.	['ACTION_SET_TIMER', 'send_message', 'ACTION_OPEN_CONTENT', 'web_search', 'ACTION_GET_RINGTONE']	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/vlog1.mp4'}}	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/vlog1.mp4', 'mime_type': 'video/mp4'}}	pass	fail	fail	turn2.tsv
['turn 1: Could you take a picture of the current scene? -> All set—image captured and saved to content://camera_app/photos/98765.']	Could you display that image?	Display content://camera_app/photos/98765.	['send_message', 'ACTION_SET_TIMER', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_DOCUMENT', 'ACTION_OPEN_CONTENT']	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://camera_app/photos/98765'}}	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://camera_app/photos/98765'}}	pass	pass	pass	turn2.tsv
['turn 1: Could you record a video and save it to content://videos/my_birthday.mp4? -> Sure—your birthday video has been saved to content://videos/my_birthday.mp4.']	Could you play back the birthday video?	Play content://videos/my_birthday.mp4.	['ACTION_CREATE_DOCUMENT', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_RECENT_APPS', 'play_video', 'launch_application']	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/my_birthday.mp4'}}	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/my_birthday.mp4', 'mime_type': 'video/mp4'}}	pass	fail	fail	turn2.tsv
['turn 1: Could you show me my recent call history? -> Here are your recent calls: Diana at +44-20-7946-0958 (Incoming) today at 8:30 AM; Emma at +1-415-555-2671 (Missed) yesterday at 6:20 PM; Frank at +1-629-555-0148 (Outgoing) today at 11:05 AM.']	Could you give her a ring?	Call Diana at +44-20-7946-0958.	['ACTION_VIDEO_CAPTURE', 'ACTION_VIEW_EVENT', 'ACTION_EDIT_VIDEO', 'dial', 'ACTION_VIEW_WEB_HISTORY']	{'plan': 'dial', 'arguments': {'phone_number': '+44-20-7946-0958'}}	{'plan': 'dial', 'arguments': {'phone_number': '+44-20-7946-0958'}}	pass	pass	pass	turn2.tsv
['turn 1: Could you show me my device’s missed and dialed calls? -> Here’s your call log: Jack at +1-718-555-0145 (Outgoing) at 1:00 PM today; Karen at +49-30-1234-5678 (Incoming) at 9:45 AM yesterday; Leo at +1-305-555-0199 (Missed) at 7:20 AM today.']	Could you return Leo’s call?	Call Leo at +1-305-555-0199.	['ACTION_SET_ALARM', 'launch_application', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_CONTACT', 'dial']	{'plan': 'dial', 'arguments': {'phone_number': '+1-305-555-0199'}}	{'plan': 'dial', 'arguments': {'phone_number': '+1-305-555-0199'}}	pass	pass	pass	turn2.tsv
"['turn 1: Could you list all SMS and MMS messages sent from this device? -> Here are your sent messages: Mom at +82-3512-0000 – ""I’ll be there soon""; Alice – ""Happy Birthday!""; Bob at +1-202-555-0147 – ""Meeting at 2pm?""']"	Could you call Bob at +1-202-555-0147 now?	Call Bob at +1-202-555-0147 now.	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_GET_RINGTONE', 'dial', 'send_message', 'open_settings']	{'plan': 'dial', 'arguments': {'phone_number': '+1-202-555-0147'}}	{'plan': 'dial', 'arguments': {'phone_number': '+1-202-555-0147'}}	pass	pass	pass	turn2.tsv
['turn 1: Could you look up the address for 500 Terry Francois Boulevard in San Francisco, CA? -> Here’s the address: 500 Terry Francois Blvd, San Francisco, CA 94158, USA.']	Could you email that address to [assistant@example.com] and ask them to schedule a site visit?	Email 500 Terry Francois Blvd, San Francisco, CA 94158, USA to [assistant@example.com] and ask them to schedule a site visit.	['ACTION_VIEW_CONTACT', 'ACTION_NAVIGATE_TO_LOCATION', 'INTENT_ACTION_VIDEO_CAMERA', 'send_email', 'ACTION_EDIT_VIDEO']	{'plan': 'send_email', 'arguments': {'to': '[assistant@example.com]', 'body': 'Could you please schedule a site visit at the following location?\n\nAddress:\n500 Terry Francois Blvd,\nSan Francisco, CA 94158, USA'}}	{'plan': 'send_email', 'arguments': {'to': 'assistant@example.com', 'body': 'Please schedule a site visit at 500 Terry Francois Blvd, San Francisco, CA 94158, USA.'}}	pass	fail	fail	turn2.tsv
"['turn 1: Could you send a quick reminder to John at +1-555-123-4567 saying ""Don’t forget the meeting at 3 PM today""? -> Your reminder has been sent to +1-555-123-4567.']"	Could you email that reminder to [john@example.com]?	Email the reminder to [john@example.com].	['ACTION_INSERT_CONTACT', 'send_email', 'get_contact_info', 'ACTION_VIEW_EVENT', 'ACTION_SHOW_ALARMS']	{'plan': 'send_email', 'arguments': {'to': 'john@example.com'}}	{'plan': 'send_email', 'arguments': {'to': 'john@example.com'}}	pass	pass	pass	turn2.tsv
"['turn 1: Could you show me my sent emails? -> Here are your sent emails: to [alice@example.com] – ""Project Update""; to [bob@example.com] – ""Meeting Agenda""; to [carol@example.com] – ""Budget Review"".']"	Could you send her the revised budget summary?	Send the revised budget summary to [carol@example.com].	['play_video', 'send_email', 'open_settings', 'ACTION_VIEW_CONTACT', 'ACTION_EDIT_VIDEO']	{'plan': 'send_email', 'arguments': {'to': 'carol@example.com', 'body': 'the revised budget summary'}}	{'plan': 'send_email', 'arguments': {'to': 'carol@example.com', 'body': 'the revised budget summary'}}	pass	pass	pass	turn2.tsv
"['turn 1: Could you show me my recently sent messages? -> Here are your recently sent messages: \[[dave@example.com] – ""Team Outing Details""; [eve@example.com] – ""Client Feedback""; [frank@example.com] – ""Proposal Draft""]']"	Could you send a reminder to the third recipient to review the proposal draft?	Send a reminder to [frank@example.com] to review the proposal draft.	['ACTION_VIEW_PLAYLIST', 'ACTION_SET_TIMER', 'dial', 'play_music', 'send_message']	{'plan': 'send_message', 'arguments': {'to': 'frank@example.com', 'message': 'Please review the Proposal Draft'}}	{'plan': 'send_message', 'arguments': {'to': 'frank@example.com', 'message': 'review the proposal draft'}}	pass	fail	fail	turn2.tsv
['turn 1: Could you trim the first 5 seconds of content://videos/celebration.mp4? -> Trimming the first 5 seconds of celebration.mp4 now.']	Could you send the edited video to Emily with the message 'Check out the edited intro!'?	Send content://videos/celebration.mp4 to Emily with the message 'Check out the edited intro!'.	['ACTION_SHOW_TIMERS', 'web_search', 'ACTION_VIEW_SENT_MESSAGES', 'INTENT_ACTION_VIDEO_CAMERA', 'send_message']	{'plan': 'send_message', 'arguments': {'to': 'Emily', 'message': 'Check out the edited intro!', 'attachments': ['content://videos/celebration.mp4']}}	{'plan': 'send_message', 'arguments': {'to': 'Emily', 'message': 'Check out the edited intro!', 'attachments': ['content://videos/celebration.mp4']}}	pass	pass	pass	turn2.tsv
['turn 1: Could you fetch the recent call records? -> Here’s your call log: Steve at +1-312-555-0190 (Missed) at 2:05 PM today; Tina at +1-703-555-0183 (Incoming) at 8:15 AM yesterday; Uma at +44-161-555-0123 (Outgoing) at 6:55 PM today.']	Could you send a message to the second person saying 'Let me know when you call back.'?	Send a message to Steve at +1-312-555-0190 saying 'Let me know when you call back.'	['ACTION_CREATE_DOCUMENT', 'ACTION_SET_RINGTONE', 'ACTION_SET_ALARM', 'send_email', 'send_message']	{'plan': 'send_message', 'arguments': {'to': '+1-703-555-0183', 'message': 'Let me know when you call back.'}}	{'plan': 'send_message', 'arguments': {'to': '+1-703-555-0183', 'message': 'Let me know when you call back.'}}	pass	pass	pass	turn2.tsv
"[""turn 1: Create a 6:45 AM alarm labeled 'Morning workout' without confirmation UI. -> Your 'Morning workout' alarm has been set for 6:45 AM—no confirmation screen needed. (ID: alarm_no17)"", ""turn 2: Could you pull up the history of my last internet session? -> Here's the history of your last internet session: Wikipedia: Mars exploration; NASA: Perseverance Rover; Space.com: Black holes article; The Planetary Society: James Webb Telescope update; National Geographic: Space Photography feature."", ""turn 3: Pick multiple invoices in PDF format. -> Sure—please select the PDF invoices you want."", ""turn 4: Start the Messages app to read my new texts. -> The Messages app is now open. You can check your new texts.""]"	Actually, change that alarm to 7:00 AM, rename it 'Sunrise workout', and set it to repeat on weekends.	Change 'alarm_no17' to go off at 7:00 AM, rename it 'Sunrise workout', and set it to repeat on weekends.	['ACTION_EDIT_ALARM', 'ACTION_PICK', 'ACTION_GET_RINGTONE', 'open_settings', 'ACTION_CREATE_DOCUMENT']	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 17, 'EXTRA_HOUR': 7, 'EXTRA_MINUTES': 0, 'EXTRA_MESSAGE': 'Sunrise workout', 'EXTRA_DAYS': ['Saturday', 'Sunday']}}	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 17, 'EXTRA_HOUR': 7, 'EXTRA_MINUTES': 0, 'EXTRA_MESSAGE': 'Sunrise workout', 'EXTRA_DAYS': ['Saturday', 'Sunday']}}	pass	pass	pass	turn3.tsv
"[""turn 1: Set an alarm for 7:00 AM with the ringtone uri://alarm_sound_1. -> Your alarm (ID: alarm_no7) has been set for 7:00 AM with the custom ringtone (uri://alarm_sound_1)."", ""turn 2: Start recording a video for my assignment and save it to content://assignments/vid1.mp4. -> Recording started. Your assignment video has been saved to content://assignments/vid1.mp4."", ""turn 3: Select a PowerPoint presentation file. -> Sure—please pick the PowerPoint presentation you’d like."", ""turn 4: Update the company for Rachel at content://contacts/people/rachel to DesignHub. -> Done—Rachel’s company is now set to DesignHub. You can view it at content://contacts/people/rachel.""]"	Actually, change that alarm to 6:45 AM on weekdays with the default ringtone, and label it 'Weekday rise'.	Change alarm_no7 to 6:45 AM on weekdays with the default ringtone and label it 'Weekday rise'.	['ACTION_INSERT_CONTACT', 'ACTION_EDIT_ALARM', 'dial', 'INTENT_ACTION_VIDEO_CAMERA', 'send_email']	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 7, 'EXTRA_HOUR': 6, 'EXTRA_MINUTES': 45, 'EXTRA_DAYS': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'EXTRA_RINGTONE': None, 'EXTRA_MESSAGE': 'Weekday rise'}}	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 7, 'EXTRA_HOUR': 6, 'EXTRA_MINUTES': 45, 'EXTRA_MESSAGE': 'Weekday rise', 'EXTRA_DAYS': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']}}	pass	fail	fail	turn3.tsv
"[""turn 1: Could you set a recurring alarm for medication at 10:15 PM on Mondays and Thursdays? -> Your medication reminder (ID: alarm_no7) is set for 10:15 PM every Monday and Thursday."", ""turn 2: Start video capture now. -> Video mode activated—camera is live."", ""turn 3: Please open content://documents/doc/616 and don’t add any text yet. -> Opening content://documents/doc/616. Ready for your edits."", ""turn 4: Add an event: ‘Guitar Lesson’ on June 12, 2024, from 5:00 PM to 6:00 PM at Music Academy, description ‘Weekly lesson with instructor’. -> Done! ‘Guitar Lesson’ has been scheduled for June 12, 2024, 5:00 PM–6:00 PM at Music Academy. See details: content://calendar/event/1004.""]"	Actually, change that alarm to fire at 10:00 PM instead.	Change alarm_no7 to fire at 10:00 PM instead.	['ACTION_EDIT_ALARM', 'ACTION_IMAGE_CAPTURE', 'dial', 'play_video', 'ACTION_OPEN_CONTENT']	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 7, 'EXTRA_HOUR': 22, 'EXTRA_MINUTES': 0}}	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 7, 'EXTRA_HOUR': 22, 'EXTRA_MINUTES': 0}}	pass	pass	pass	turn3.tsv
"[""turn 1: Show me the phone number and email for content://contacts/people/1035. -> Here are the phone number and email for content://contacts/people/1035."", ""turn 2: Set a 10-minute timer named 'Tea steeping'. -> The 'Tea steeping' timer is set for 10 minutes."", ""turn 3: Display all sent messages. -> Your Sent messages folder appears to be empty."", ""turn 4: Select one image from my gallery. -> Got it. You selected: content://temp/DCIM/Camera/IMG_20230815_123456.jpg.""]"	Update that contact's email to [user1035@newdomain.com].	Update content://contacts/people/1035's email to [user1035@newdomain.com].	['ACTION_SET_RINGTONE', 'play_video', 'ACTION_GET_CONTENT', 'ACTION_EDIT_CONTACT', 'send_email']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1035', 'contact_info': {'email': '[user1035@newdomain.com]'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1035', 'contact_info': {'email': 'user1035@newdomain.com'}}}	pass	fail	fail	turn3.tsv
"[""turn 1: Add contact Sarah Connor with phone number 610-555-1212 and email [sarah.connor@resistance.net]. -> Created Sarah Connor’s contact: content://contacts/people/sarah_connor"", ""turn 2: Search for the Golden Pavilion in Kyoto. -> Here’s what I found: Kinkaku-ji (Golden Pavilion), 1 Kinkakujicho, Kita Ward, Kyoto 603-8361, Japan."", ""turn 3: Upload any file for backup. -> Your file has been backed up: content://files/backup_archive.zip"", ""turn 4: Open Wi-Fi settings on my phone. -> Wi-Fi settings are now open.""]"	Actually, add the address '42 Galaxy Way, Los Angeles, CA' to that contact.	Add address '42 Galaxy Way, Los Angeles, CA' to content://contacts/people/sarah_connor.	['ACTION_VIEW_CONTACT', 'ACTION_EDIT_CONTACT', 'ACTION_SHOW_TIMERS', 'ACTION_GET_CONTENT', 'get_contact_info_from_uri']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/sarah_connor', 'contact_info': {'address': '42 Galaxy Way, Los Angeles, CA'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/sarah_connor', 'contact_info': {'address': '42 Galaxy Way, Los Angeles, CA'}}}	pass	pass	pass	turn3.tsv
"[""turn 1: Record a four quick video snippet -> Recording your snippet—all of that saved at content://snippets/clip1.mp4, content://snippets/clip3.mp4. content://snippets/clip4.mp4. and content://snippets/clip2.mp4."", ""turn 2: Open the EPUB at content://pdfs/ebook.epub. -> Opening the EPUB eBook at content://pdfs/ebook.epub."", ""turn 3: Save Gabrielle Union with email [gabrielle@universal.com] and company Universal Pictures. -> Gabrielle Union has been saved to your contacts with email [gabrielle@universal.com] and company Universal Pictures. Find it at content://contacts/people/gabrielle_union."", ""turn 4: Show me the apps I've used recently. -> Here are the apps you've used recently: Maps; Messages; Chrome; YouTube; Calendar.""]"	Please trim second one snippet from 5 seconds to 20 seconds.	Trim the video snippet at content://snippets/clip3.mp4 from 5 seconds to 20 seconds.	['ACTION_CREATE_DOCUMENT', 'INTENT_ACTION_VIDEO_CAMERA', 'play_video', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_VIDEO']	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'content://snippets/clip2.mp4', 'edit_options': {'start_time': 5000, 'end_time': 20000}}}	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'content://snippets/clip3.mp4', 'edit_options': {'start_time': 5000, 'end_time': 20000}}}	pass	fail	fail	turn3.tsv
